repeat,alpha_idx,ccp_alpha,fold,n_val,n_leaves_val,pairs_val,sep_val,skipped,a_eff,mae_val
0,0,0.0,0,53,37.0,1,0.0,False,0.0,29.238810281710123
0,0,0.0,1,52,33.0,1,1.3676717240006764,False,0.0,29.272633966049526
0,0,0.0,2,52,30.0,0,0.0,False,0.0,18.262905768350457
0,0,0.0,3,52,29.0,0,0.0,False,0.0,42.978067251182324
0,0,0.0,4,52,33.0,0,0.0,False,0.0,25.839051190398116
0,0,0.0,CV-agg,261,32.4,2,0.0,False,,29.11875544092574
0,1,0.0001955793180302423,0,53,37.0,1,0.0,False,0.0001955793180302423,29.238810281710123
0,1,0.0001955793180302423,1,52,33.0,1,1.3676717240006764,False,0.0001955793180302423,29.272633966049526
0,1,0.0001955793180302423,2,52,30.0,0,0.0,False,0.0001955793180302423,18.262905768350457
0,1,0.0001955793180302423,3,52,29.0,0,0.0,False,0.0001955793180302423,42.978067251182324
0,1,0.0001955793180302423,4,52,33.0,0,0.0,False,0.0001955793180302423,25.839051190398116
0,1,0.0001955793180302423,CV-agg,261,32.4,2,0.0,False,,29.11875544092574
0,2,0.00019557931803035333,0,53,37.0,1,0.0,False,0.00019557931803035333,29.238810281710123
0,2,0.00019557931803035333,1,52,33.0,1,1.3676717240006764,False,0.00019557931803035333,29.272633966049526
0,2,0.00019557931803035333,2,52,30.0,0,0.0,False,0.00019557931803035333,18.262905768350457
0,2,0.00019557931803035333,3,52,29.0,0,0.0,False,0.00019557931803035333,42.978067251182324
0,2,0.00019557931803035333,4,52,33.0,0,0.0,False,0.00019557931803035333,25.839051190398116
0,2,0.00019557931803035333,CV-agg,261,32.4,2,0.0,False,,29.11875544092574
0,3,0.0008551820485933614,0,53,37.0,1,0.0,False,0.0008551820485933614,29.238810281710123
0,3,0.0008551820485933614,1,52,33.0,1,1.3676717240006764,False,0.0008551820485933614,29.272633966049526
0,3,0.0008551820485933614,2,52,30.0,0,0.0,False,0.0008551820485933614,18.262905768350457
0,3,0.0008551820485933614,3,52,29.0,0,0.0,False,0.0008551820485933614,42.978067251182324
0,3,0.0008551820485933614,4,52,33.0,0,0.0,False,0.0008551820485933614,25.839051190398116
0,3,0.0008551820485933614,CV-agg,261,32.4,2,0.0,False,,29.11875544092574
0,4,0.0008551820485935835,0,53,37.0,1,0.0,False,0.0008551820485935835,29.238810281710123
0,4,0.0008551820485935835,1,52,33.0,1,1.3676717240006764,False,0.0008551820485935835,29.272633966049526
0,4,0.0008551820485935835,2,52,30.0,0,0.0,False,0.0008551820485935835,18.262905768350457
0,4,0.0008551820485935835,3,52,29.0,0,0.0,False,0.0008551820485935835,42.978067251182324
0,4,0.0008551820485935835,4,52,33.0,0,0.0,False,0.0008551820485935835,25.839051190398116
0,4,0.0008551820485935835,CV-agg,261,32.4,2,0.0,False,,29.11875544092574
0,5,0.0013732135247266353,0,53,37.0,1,0.0,False,0.0013732135247266353,29.238810281710123
0,5,0.0013732135247266353,1,52,33.0,1,1.3676717240006764,False,0.0013732135247266353,29.36010447334371
0,5,0.0013732135247266353,2,52,30.0,0,0.0,False,0.0013732135247266353,18.262905768350457
0,5,0.0013732135247266353,3,52,28.0,0,0.0,False,0.0013732135247266353,42.973774895130724
0,5,0.0013732135247266353,4,52,33.0,0,0.0,False,0.0013732135247266353,25.839051190398116
0,5,0.0013732135247266353,CV-agg,261,32.2,2,0.0,False,,29.13532733312733
0,6,0.0013732135247267463,0,53,37.0,1,0.0,False,0.0013732135247267463,29.238810281710123
0,6,0.0013732135247267463,1,52,33.0,1,1.3676717240006764,False,0.0013732135247267463,29.36010447334371
0,6,0.0013732135247267463,2,52,30.0,0,0.0,False,0.0013732135247267463,18.262905768350457
0,6,0.0013732135247267463,3,52,28.0,0,0.0,False,0.0013732135247267463,42.973774895130724
0,6,0.0013732135247267463,4,52,33.0,0,0.0,False,0.0013732135247267463,25.839051190398116
0,6,0.0013732135247267463,CV-agg,261,32.2,2,0.0,False,,29.13532733312733
0,7,0.012842184968057266,0,53,37.0,1,0.0,False,0.012842184968057266,29.238810281710123
0,7,0.012842184968057266,1,52,33.0,1,1.3676717240006764,False,0.012842184968057266,29.36010447334371
0,7,0.012842184968057266,2,52,29.0,0,0.0,False,0.012842184968057266,18.21635784997624
0,7,0.012842184968057266,3,52,28.0,0,0.0,False,0.012842184968057266,43.0490375129089
0,7,0.012842184968057266,4,52,33.0,0,0.0,False,0.012842184968057266,25.839051190398116
0,7,0.012842184968057266,CV-agg,261,32.0,2,0.0,False,,29.141048269407044
0,8,0.013501787698620094,0,53,37.0,1,0.0,False,0.013501787698620094,29.238810281710123
0,8,0.013501787698620094,1,52,33.0,1,1.3676717240006764,False,0.013501787698620094,29.36010447334371
0,8,0.013501787698620094,2,52,29.0,0,0.0,False,0.013501787698620094,18.21635784997624
0,8,0.013501787698620094,3,52,28.0,0,0.0,False,0.013501787698620094,43.0490375129089
0,8,0.013501787698620094,4,52,33.0,0,0.0,False,0.013501787698620094,25.839051190398116
0,8,0.013501787698620094,CV-agg,261,32.0,2,0.0,False,,29.141048269407044
0,9,0.013501787698620316,0,53,37.0,1,0.0,False,0.013501787698620316,29.238810281710123
0,9,0.013501787698620316,1,52,33.0,1,1.3676717240006764,False,0.013501787698620316,29.36010447334371
0,9,0.013501787698620316,2,52,29.0,0,0.0,False,0.013501787698620316,18.21635784997624
0,9,0.013501787698620316,3,52,28.0,0,0.0,False,0.013501787698620316,43.0490375129089
0,9,0.013501787698620316,4,52,33.0,0,0.0,False,0.013501787698620316,25.839051190398116
