operation,randomOffset,transferSize,aggregateFilesizeMBtask,numTasks,parallelism,totalTime,numNodesList,numNodes,tasksPerNode,trMiB,storageType,opCount,taskName,taskPID,fileName,stageOrder,prevTask,aggregateFilesizeMB
0,1,5410.66355496285,27.0848970413208,96,96,0.115697909,[4],4,24,234.10014299671397,5,5249,run_idfeature,101189-dc002,cloudid_20160802_041500.nc,1.0,,762.2326653003693
1,1,6632.008785332315,33.11652946472168,96,96,0.214328429,[4],4,24,154.5130042674912,5,5236,run_idfeature,101189-dc002,pr_rlut_mean_sam_2016080204.nc,1.0,initial_data,762.2326653003693
0,1,4276.380358163459,42.813721656799316,96,96,0.200276521,[4],4,24,213.77304460366233,5,10498,run_idfeature,101190-dc002,cloudid_20160801_011500.nc,1.0,,762.2326653003693
0,1,4276.380358163459,42.813721656799316,96,96,0.200276521,[4],4,24,213.77304460366233,5,10498,run_idfeature,101190-dc002,cloudid_20160801_131500.nc,1.0,,762.2326653003693
1,1,6878.920804836951,66.18636322021484,96,96,0.352152301,[4],4,24,187.94812083370383,5,10089,run_idfeature,101190-dc002,pr_rlut_mean_sam_2016080101.nc,1.0,initial_data,762.2326653003693
1,1,6878.920804836951,66.18636322021484,96,96,0.352152301,[4],4,24,187.94812083370383,5,10089,run_idfeature,101190-dc002,pr_rlut_mean_sam_2016080113.nc,1.0,initial_data,762.2326653003693
0,1,5437.864545627739,27.221060752868652,96,96,0.106131086,[4],4,24,256.4852747560564,5,5249,run_idfeature,101191-dc002,cloudid_20160802_111500.nc,1.0,,762.2326653003693
1,1,6632.008785332315,33.11652946472168,96,96,0.222863949,[4],4,24,148.59527354386813,5,5236,run_idfeature,101191-dc002,pr_rlut_mean_sam_2016080211.nc,1.0,initial_data,762.2326653003693
0,1,5375.016003048199,26.90645122528076,96,96,0.120419661,[4],4,24,223.43902151726505,5,5249,run_idfeature,101192-dc002,cloudid_20160801_231500.nc,1.0,,762.2326653003693
1,1,6632.008785332315,33.11652946472168,96,96,0.18236907,[4],4,24,181.59071307827406,5,5236,run_idfeature,101192-dc002,pr_rlut_mean_sam_2016080123.nc,1.0,initial_data,762.2326653003693
0,1,4931.208420651553,24.684823036193848,96,96,0.114772915,[4],4,24,215.07533407332076,5,5249,run_idfeature,101193-dc002,cloudid_20160801_071500.nc,1.0,,762.2326653003693
1,1,6632.008785332315,33.11652946472168,96,96,0.225336853,[4],4,24,146.96455117672954,5,5236,run_idfeature,101193-dc002,pr_rlut_mean_sam_2016080107.nc,1.0,initial_data,762.2326653003693
0,1,5501.445799199848,27.53933811187744,96,96,0.123731691,[4],4,24,222.57303597246917,5,5249,run_idfeature,101194-dc002,cloudid_20160802_211500.nc,1.0,,762.2326653003693
1,1,6632.493218720153,33.11262321472168,96,96,0.203170817,[4],4,24,162.97922951563305,5,5235,run_idfeature,101194-dc002,pr_rlut_mean_sam_2016080221.nc,1.0,initial_data,762.2326653003693
0,1,5429.289959992379,27.17813777923584,96,96,0.09039926,[4],4,24,300.6455780637567,5,5249,run_idfeature,101195-dc002,cloudid_20160801_201500.nc,1.0,,762.2326653003693
1,1,6632.008785332315,33.11652946472168,96,96,0.244579773,[4],4,24,135.4017507601566,5,5236,run_idfeature,101195-dc002,pr_rlut_mean_sam_2016080120.nc,1.0,initial_data,762.2326653003693
0,1,5458.708515907792,27.32540225982666,96,96,0.099119285,[4],4,24,275.68199528302347,5,5249,run_idfeature,101196-dc002,cloudid_20160802_171500.nc,1.0,,762.2326653003693
1,1,6632.008785332315,33.11652946472168,96,96,0.260941635,[4],4,24,126.91163472138771,5,5236,run_idfeature,101196-dc002,pr_rlut_mean_sam_2016080217.nc,1.0,initial_data,762.2326653003693
0,1,3996.1076395503906,20.00386142730713,96,96,0.084037732,[4],4,24,238.03428473423256,5,5249,run_idfeature,101197-dc002,cloudid_20160801_031500.nc,1.0,,762.2326653003693
