operation,randomOffset,transferSize,aggregateFilesizeMBtask,numTasks,parallelism,totalTime,numNodesList,numNodes,tasksPerNode,trMiB,storageType,opCount,taskName,taskPID,fileName,stageOrder,prevTask,aggregateFilesizeMB
cp,0,4096.0,,16,16,,"[1, 2, 4]",4,4,,beegfs-tmpfs,16,stage_in-training,,"stage0000_task0007.h5,stage0000_task0002.h5,stage0000_task0010.h5,stage0000_task0000.h5,stage0000_task0005.h5,aggregated.h5,stage0000_task0009.h5,stage0000_task0004.h5,stage0000_task0011.h5,stage0000_task0008.h5,stage0000_task0001.h5,stage0000_task0006.h5,stage0000_task0003.h5,virtual_stage0000_task0000.h5,embeddings-epoch-10-20241202-193048.h5,embeddings-epoch-5-20241202-193005.h5",-1.0,,3775.332410812378
cp,0,4096.0,,16,16,,"[1, 2, 4]",1,16,,beegfs-ssd,16,stage_in-training,,"stage0000_task0007.h5,stage0000_task0002.h5,stage0000_task0010.h5,stage0000_task0000.h5,stage0000_task0005.h5,aggregated.h5,stage0000_task0009.h5,stage0000_task0004.h5,stage0000_task0011.h5,stage0000_task0008.h5,stage0000_task0001.h5,stage0000_task0006.h5,stage0000_task0003.h5,virtual_stage0000_task0000.h5,embeddings-epoch-10-20241202-193048.h5,embeddings-epoch-5-20241202-193005.h5",-1.0,,3775.332410812378
cp,0,4096.0,,16,16,,"[1, 2, 4]",2,8,,beegfs-ssd,16,stage_in-training,,"stage0000_task0007.h5,stage0000_task0002.h5,stage0000_task0010.h5,stage0000_task0000.h5,stage0000_task0005.h5,aggregated.h5,stage0000_task0009.h5,stage0000_task0004.h5,stage0000_task0011.h5,stage0000_task0008.h5,stage0000_task0001.h5,stage0000_task0006.h5,stage0000_task0003.h5,virtual_stage0000_task0000.h5,embeddings-epoch-10-20241202-193048.h5,embeddings-epoch-5-20241202-193005.h5",-1.0,,3775.332410812378
cp,0,4096.0,,16,16,,"[1, 2, 4]",4,4,,beegfs-ssd,16,stage_in-training,,"stage0000_task0007.h5,stage0000_task0002.h5,stage0000_task0010.h5,stage0000_task0000.h5,stage0000_task0005.h5,aggregated.h5,stage0000_task0009.h5,stage0000_task0004.h5,stage0000_task0011.h5,stage0000_task0008.h5,stage0000_task0001.h5,stage0000_task0006.h5,stage0000_task0003.h5,virtual_stage0000_task0000.h5,embeddings-epoch-10-20241202-193048.h5,embeddings-epoch-5-20241202-193005.h5",-1.0,,3775.332410812378
none,0,4096.0,,16,16,0,"[1, 2, 4]",1,16,1.0,beegfs,16,stage_in-training,,"stage0000_task0007.h5,stage0000_task0002.h5,stage0000_task0010.h5,stage0000_task0000.h5,stage0000_task0005.h5,aggregated.h5,stage0000_task0009.h5,stage0000_task0004.h5,stage0000_task0011.h5,stage0000_task0008.h5,stage0000_task0001.h5,stage0000_task0006.h5,stage0000_task0003.h5,virtual_stage0000_task0000.h5,embeddings-epoch-10-20241202-193048.h5,embeddings-epoch-5-20241202-193005.h5",-1.0,,3775.332410812378
none,0,4096.0,,16,16,0,"[1, 2, 4]",2,8,1.0,beegfs,16,stage_in-training,,"stage0000_task0007.h5,stage0000_task0002.h5,stage0000_task0010.h5,stage0000_task0000.h5,stage0000_task0005.h5,aggregated.h5,stage0000_task0009.h5,stage0000_task0004.h5,stage0000_task0011.h5,stage0000_task0008.h5,stage0000_task0001.h5,stage0000_task0006.h5,stage0000_task0003.h5,virtual_stage0000_task0000.h5,embeddings-epoch-10-20241202-193048.h5,embeddings-epoch-5-20241202-193005.h5",-1.0,,3775.332410812378
none,0,4096.0,,16,16,0,"[1, 2, 4]",4,4,1.0,beegfs,16,stage_in-training,,"stage0000_task0007.h5,stage0000_task0002.h5,stage0000_task0010.h5,stage0000_task0000.h5,stage0000_task0005.h5,aggregated.h5,stage0000_task0009.h5,stage0000_task0004.h5,stage0000_task0011.h5,stage0000_task0008.h5,stage0000_task0001.h5,stage0000_task0006.h5,stage0000_task0003.h5,virtual_stage0000_task0000.h5,embeddings-epoch-10-20241202-193048.h5,embeddings-epoch-5-20241202-193005.h5",-1.0,,3775.332410812378
write,1,1066.3976575571667,7.293895721435547,12,12,0.026275827,"[1, 2, 4]",1,12,277.58957772996246,5,7172,openmm,190075-dlt02,stage0000_task0000.h5,0.0,,174.60818481445312
write,1,1066.3976575571667,7.293895721435547,12,12,0.026275827,"[1, 2, 4]",2,6,277.58957772996246,5,7172,openmm,190075-dlt02,stage0000_task0000.h5,0.0,,174.60818481445312
write,1,1066.3976575571667,7.293895721435547,12,12,0.026275827,"[1, 2, 4]",4,3,277.58957772996246,5,7172,openmm,190075-dlt02,stage0000_task0000.h5,0.0,,174.60818481445312
write,1,1066.3976575571667,7.293895721435547,12,12,0.026275827,"[1, 2, 4]",1,12,277.58957772996246,5,7172,openmm,190075-dlt02,stage0000_task0000.dcd,0.0,,174.60818481445312
write,1,1066.3976575571667,7.293895721435547,12,12,0.026275827,"[1, 2, 4]",2,6,277.58957772996246,5,7172,openmm,190075-dlt02,stage0000_task0000.dcd,0.0,,174.60818481445312
write,1,1066.3976575571667,7.293895721435547,12,12,0.026275827,"[1, 2, 4]",4,3,277.58957772996246,5,7172,openmm,190075-dlt02,stage0000_task0000.dcd,0.0,,174.60818481445312
write,1,1064.1356026785713,7.274364471435547,12,12,0.024391434,"[1, 2, 4]",1,12,298.2343912799693,5,7168,openmm,74814-dlt06,stage0000_task0011.dcd,0.0,,174.60818481445312
write,1,1064.1356026785713,7.274364471435547,12,12,0.024391434,"[1, 2, 4]",2,6,298.2343912799693,5,7168,openmm,74814-dlt06,stage0000_task0011.dcd,0.0,,174.60818481445312
write,1,1064.1356026785713,7.274364471435547,12,12,0.024391434,"[1, 2, 4]",4,3,298.2343912799693,5,7168,openmm,74814-dlt06,stage0000_task0011.dcd,0.0,,174.60818481445312
write,1,1064.1356026785713,7.274364471435547,12,12,0.024391434,"[1, 2, 4]",1,12,298.2343912799693,5,7168,openmm,74814-dlt06,stage0000_task0011.h5,0.0,,174.60818481445312
