,operation,randomOffset,transferSize,aggregateFilesizeMBtask,numTasks,parallelism,totalTime,numNodesList,numNodes,tasksPerNode,trMiB,storageType,opCount,taskName,taskPID,fileName,stageOrder,prevTask,aggregateFilesizeMB,estimated_trMiB_beegfs-tmpfs_16p,estimated_ts_slope_beegfs-tmpfs_16p,estimated_trMiB_beegfs-tmpfs_8p,estimated_ts_slope_beegfs-tmpfs_8p,estimated_trMiB_beegfs-tmpfs_4p,estimated_ts_slope_beegfs-tmpfs_4p,estimated_trMiB_beegfs-ssd_16p,estimated_ts_slope_beegfs-ssd_16p,estimated_trMiB_beegfs-ssd_8p,estimated_ts_slope_beegfs-ssd_8p,estimated_trMiB_beegfs-ssd_4p,estimated_ts_slope_beegfs-ssd_4p,estimated_trMiB_ssd_1p,estimated_ts_slope_ssd_1p,estimated_trMiB_ssd_3p,estimated_ts_slope_ssd_3p,estimated_trMiB_ssd_6p,estimated_ts_slope_ssd_6p,estimated_trMiB_ssd_12p,estimated_ts_slope_ssd_12p,estimated_trMiB_ssd_13p,estimated_ts_slope_ssd_13p,estimated_trMiB_ssd_16p,estimated_ts_slope_ssd_16p,estimated_trMiB_ssd_24p,estimated_ts_slope_ssd_24p,estimated_trMiB_ssd_34p,estimated_ts_slope_ssd_34p,estimated_trMiB_beegfs_1p,estimated_ts_slope_beegfs_1p,estimated_trMiB_beegfs_3p,estimated_ts_slope_beegfs_3p,estimated_trMiB_beegfs_6p,estimated_ts_slope_beegfs_6p,estimated_trMiB_beegfs_12p,estimated_ts_slope_beegfs_12p,estimated_trMiB_beegfs_13p,estimated_ts_slope_beegfs_13p,estimated_trMiB_beegfs_16p,estimated_ts_slope_beegfs_16p,estimated_trMiB_beegfs_24p,estimated_ts_slope_beegfs_24p,estimated_trMiB_beegfs_34p,estimated_ts_slope_beegfs_34p,estimated_trMiB_beegfs-ssd_13p,estimated_ts_slope_beegfs-ssd_13p,estimated_trMiB_beegfs-ssd_7p,estimated_ts_slope_beegfs-ssd_7p,estimated_trMiB_beegfs-tmpfs_13p,estimated_ts_slope_beegfs-tmpfs_13p,estimated_trMiB_beegfs-tmpfs_7p,estimated_ts_slope_beegfs-tmpfs_7p,estimated_trMiB_ssd-ssd_13p,estimated_ts_slope_ssd-ssd_13p,estimated_trMiB_ssd-ssd_7p,estimated_ts_slope_ssd-ssd_7p,estimated_trMiB_ssd-ssd_4p,estimated_ts_slope_ssd-ssd_4p,estimated_trMiB_tmpfs-tmpfs_13p,estimated_ts_slope_tmpfs-tmpfs_13p,estimated_trMiB_tmpfs-tmpfs_7p,estimated_ts_slope_tmpfs-tmpfs_7p,estimated_trMiB_tmpfs-tmpfs_4p,estimated_ts_slope_tmpfs-tmpfs_4p,estimated_trMiB_beegfs-ssd_34p,estimated_ts_slope_beegfs-ssd_34p,estimated_trMiB_beegfs-ssd_17p,estimated_ts_slope_beegfs-ssd_17p,estimated_trMiB_beegfs-ssd_9p,estimated_ts_slope_beegfs-ssd_9p,estimated_trMiB_beegfs-tmpfs_34p,estimated_ts_slope_beegfs-tmpfs_34p,estimated_trMiB_beegfs-tmpfs_17p,estimated_ts_slope_beegfs-tmpfs_17p,estimated_trMiB_beegfs-tmpfs_9p,estimated_ts_slope_beegfs-tmpfs_9p,estimated_trMiB_ssd-ssd_34p,estimated_ts_slope_ssd-ssd_34p,estimated_trMiB_ssd-ssd_17p,estimated_ts_slope_ssd-ssd_17p,estimated_trMiB_ssd-ssd_9p,estimated_ts_slope_ssd-ssd_9p,estimated_trMiB_tmpfs-tmpfs_34p,estimated_ts_slope_tmpfs-tmpfs_34p,estimated_trMiB_tmpfs-tmpfs_17p,estimated_ts_slope_tmpfs-tmpfs_17p,estimated_trMiB_tmpfs-tmpfs_9p,estimated_ts_slope_tmpfs-tmpfs_9p,estimated_trMiB_beegfs-ssd_24p,estimated_ts_slope_beegfs-ssd_24p,estimated_trMiB_beegfs-ssd_12p,estimated_ts_slope_beegfs-ssd_12p,estimated_trMiB_beegfs-ssd_6p,estimated_ts_slope_beegfs-ssd_6p,estimated_trMiB_beegfs-tmpfs_24p,estimated_ts_slope_beegfs-tmpfs_24p,estimated_trMiB_beegfs-tmpfs_12p,estimated_ts_slope_beegfs-tmpfs_12p,estimated_trMiB_beegfs-tmpfs_6p,estimated_ts_slope_beegfs-tmpfs_6p,estimated_trMiB_ssd-ssd_24p,estimated_ts_slope_ssd-ssd_24p,estimated_trMiB_ssd-ssd_12p,estimated_ts_slope_ssd-ssd_12p,estimated_trMiB_ssd-ssd_6p,estimated_ts_slope_ssd-ssd_6p,estimated_trMiB_tmpfs-tmpfs_24p,estimated_ts_slope_tmpfs-tmpfs_24p,estimated_trMiB_tmpfs-tmpfs_12p,estimated_ts_slope_tmpfs-tmpfs_12p,estimated_trMiB_tmpfs-tmpfs_6p,estimated_ts_slope_tmpfs-tmpfs_6p,estimated_trMiB_beegfs-ssd_1p,estimated_ts_slope_beegfs-ssd_1p,estimated_trMiB_beegfs-tmpfs_1p,estimated_ts_slope_beegfs-tmpfs_1p,estimated_trMiB_ssd-ssd_1p,estimated_ts_slope_ssd-ssd_1p,estimated_trMiB_tmpfs-tmpfs_1p,estimated_ts_slope_tmpfs-tmpfs_1p,estimated_trMiB_tmpfs-beegfs_13p,estimated_ts_slope_tmpfs-beegfs_13p,estimated_trMiB_tmpfs-beegfs_7p,estimated_ts_slope_tmpfs-beegfs_7p,estimated_trMiB_tmpfs-beegfs_4p,estimated_ts_slope_tmpfs-beegfs_4p,estimated_trMiB_ssd-beegfs_13p,estimated_ts_slope_ssd-beegfs_13p,estimated_trMiB_ssd-beegfs_7p,estimated_ts_slope_ssd-beegfs_7p,estimated_trMiB_ssd-beegfs_4p,estimated_ts_slope_ssd-beegfs_4p
76,write,1,1067.117556826105,7.297801971435547,12,12,0.025150193,"[1, 2, 4]",2,6,290.16882579929097,5,7171,openmm,190125-dlt02,stage0000_task0002.dcd,0.0,,174.60818481445312,,,,,,,,,,,,,,,,,1054.8866145852644,0.014035663029331088,,,,,,,,,,,,,,,3249.448055317712,0.014035663029331088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,write,1,1067.117556826105,7.297801971435547,12,12,0.025150193,"[1, 2, 4]",4,3,290.16882579929097,5,7171,openmm,190125-dlt02,stage0000_task0002.dcd,0.0,,174.60818481445312,,,,,,,,,,,,,,,2058.0409636779814,0.014035663029331088,,,,,,,,,,,,,,,4446.411779468906,0.014035663029331088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,write,1,1066.3976575571667,7.293895721435547,12,12,0.025339566,"[1, 2, 4]",1,12,287.84611865236946,5,7172,openmm,190099-dlt02,stage0000_task0001.h5,0.0,,174.60818481445312,,,,,,,,,,,,,,,,,,,891.3106447071641,0.013801320819390192,,,,,,,,,,,,,,,2769.557669785964,0.013801320819390192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,write,1,1066.3976575571667,7.293895721435547,12,12,0.025339566,"[1, 2, 4]",2,6,287.84611865236946,5,7172,openmm,190099-dlt02,stage0000_task0001.h5,0.0,,174.60818481445312,,,,,,,,,,,,,,,,,1054.8866145852644,0.013801320819390192,,,,,,,,,,,,,,,3249.327040889674,0.013801320819390192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,write,1,1066.3976575571667,7.293895721435547,12,12,0.025339566,"[1, 2, 4]",4,3,287.84611865236946,5,7172,openmm,190099-dlt02,stage0000_task0001.h5,0.0,,174.60818481445312,,,,,,,,,,,,,,,2058.0409636779814,0.013801320819390192,,,,,,,,,,,,,,,4446.314264397281,0.013801320819390192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,write,1,1066.3976575571667,7.293895721435547,12,12,0.025339566,"[1, 2, 4]",1,12,287.84611865236946,5,7172,openmm,190099-dlt02,stage0000_task0001.dcd,0.0,,174.60818481445312,,,,,,,,,,,,,,,,,,,891.3106447071641,0.013801320819390192,,,,,,,,,,,,,,,2769.557669785964,0.013801320819390192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,write,1,1066.3976575571667,7.293895721435547,12,12,0.025339566,"[1, 2, 4]",2,6,287.84611865236946,5,7172,openmm,190099-dlt02,stage0000_task0001.dcd,0.0,,174.60818481445312,,,,,,,,,,,,,,,,,1054.8866145852644,0.013801320819390192,,,,,,,,,,,,,,,3249.327040889674,0.013801320819390192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,write,1,1066.3976575571667,7.293895721435547,12,12,0.025339566,"[1, 2, 4]",4,3,287.84611865236946,5,7172,openmm,190099-dlt02,stage0000_task0001.dcd,0.0,,174.60818481445312,,,,,,,,,,,,,,,2058.0409636779814,0.013801320819390192,,,,,,,,,,,,,,,4446.314264397281,0.013801320819390192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,write,1,1057.3529082774048,7.211864471435547,12,12,0.02391716,"[1, 2, 4]",1,12,301.5351518088079,5,7152,openmm,143675-dlt05,stage0000_task0008.dcd,0.0,,174.60818481445312,,,,,,,,,,,,,,,,,,,890.5988389175604,0.010857066496551049,,,,,,,,,,,,,,,2768.262896303977,0.010857066496551049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,write,1,1057.3529082774048,7.211864471435547,12,12,0.02391716,"[1, 2, 4]",2,6,301.5351518088079,5,7152,openmm,143675-dlt05,stage0000_task0008.dcd,0.0,,174.60818481445312,,,,,,,,,,,,,,,,,1054.8866145852644,0.010857066496551049,,,,,,,,,,,,,,,3247.806626564973,0.010857066496551049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,write,1,1057.3529082774048,7.211864471435547,12,12,0.02391716,"[1, 2, 4]",4,3,301.5351518088079,5,7152,openmm,143675-dlt05,stage0000_task0008.dcd,0.0,,174.60818481445312,,,,,,,,,,,,,,,2058.0409636779814,0.010857066496551049,,,,,,,,,,,,,,,4445.0890938603525,0.010857066496551049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,write,1,1057.3529082774048,7.211864471435547,12,12,0.02391716,"[1, 2, 4]",1,12,301.5351518088079,5,7152,openmm,143675-dlt05,stage0000_task0008.h5,0.0,,174.60818481445312,,,,,,,,,,,,,,,,,,,890.5988389175604,0.010857066496551049,,,,,,,,,,,,,,,2768.262896303977,0.010857066496551049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,write,1,1057.3529082774048,7.211864471435547,12,12,0.02391716,"[1, 2, 4]",2,6,301.5351518088079,5,7152,openmm,143675-dlt05,stage0000_task0008.h5,0.0,,174.60818481445312,,,,,,,,,,,,,,,,,1054.8866145852644,0.010857066496551049,,,,,,,,,,,,,,,3247.806626564973,0.010857066496551049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,write,1,1057.3529082774048,7.211864471435547,12,12,0.02391716,"[1, 2, 4]",4,3,301.5351518088079,5,7152,openmm,143675-dlt05,stage0000_task0008.h5,0.0,,174.60818481445312,,,,,,,,,,,,,,,2058.0409636779814,0.010857066496551049,,,,,,,,,,,,,,,4445.0890938603525,0.010857066496551049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,cp,0,4096.0,,13,13,,"[1, 2, 4]",1,13,,beegfs-ssd,13,stage_in-aggregate,,"stage0000_task0007.h5,stage0000_task0002.h5,stage0000_task0010.h5,stage0000_task0000.h5,stage0000_task0005.h5,aggregated.h5,stage0000_task0009.h5,stage0000_task0004.h5,stage0000_task0011.h5,stage0000_task0008.h5,stage0000_task0001.h5,stage0000_task0006.h5,stage0000_task0003.h5",0.5,openmm,2111.1974239349365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4119.8721875,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,cp,0,4096.0,,13,13,,"[1, 2, 4]",2,7,,beegfs-ssd,13,stage_in-aggregate,,"stage0000_task0007.h5,stage0000_task0002.h5,stage0000_task0010.h5,stage0000_task0000.h5,stage0000_task0005.h5,aggregated.h5,stage0000_task0009.h5,stage0000_task0004.h5,stage0000_task0011.h5,stage0000_task0008.h5,stage0000_task0001.h5,stage0000_task0006.h5,stage0000_task0003.h5",0.5,openmm,2111.1974239349365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3441.889415064103,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,cp,0,4096.0,,13,13,,"[1, 2, 4]",4,4,,beegfs-ssd,13,stage_in-aggregate,,"stage0000_task0007.h5,stage0000_task0002.h5,stage0000_task0010.h5,stage0000_task0000.h5,stage0000_task0005.h5,aggregated.h5,stage0000_task0009.h5,stage0000_task0004.h5,stage0000_task0011.h5,stage0000_task0008.h5,stage0000_task0001.h5,stage0000_task0006.h5,stage0000_task0003.h5",0.5,openmm,2111.1974239349365,,,,,,,,,,,3462.15875,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
