operation,randomOffset,transferSize,aggregateFilesizeMB,numTasks,totalTime,numNodes,tasksPerNode,parallelism,trMiB,storageType
write,0,4096,5120,32,11.4104,4,8,128,448.7135,nfs
read,0,4096,5120,32,0.065,4,8,128,78805.7785,nfs
write,0,1024,1024,16,2.3537,4,4,64,435.0658,nfs
read,0,1024,1024,16,0.0341,4,4,64,30024.1862,nfs
write,0,268435456,5120,8,9.2874,4,2,32,441.028,nfs
read,0,268435456,5120,8,0.1516,4,2,32,27015.4269,nfs
write,0,4096,5120,4,11.8298,4,1,16,432.8056,nfs
read,0,4096,5120,4,0.2702,4,1,16,18949.7674,nfs
write,0,1048576,51200,256,113.2495,4,64,1024,452.099,nfs
read,0,1048576,51200,256,0.1831,4,64,1024,279589.181,nfs
write,0,1048576,1024,128,2.2994,4,32,512,445.3406,nfs
read,0,1048576,1024,128,0.0105,4,32,512,97176.5929,nfs
write,0,1024,1024,256,2.3199,4,64,1024,441.4037,nfs
read,0,1024,1024,256,0.0386,4,64,1024,26518.6512,nfs
write,0,16777216,5120,128,9.0738,4,32,512,451.4106,nfs
read,0,16777216,5120,128,0.0459,4,32,512,89166.8852,nfs
write,0,16777216,51200,32,113.612,4,8,128,450.6567,nfs
read,0,16777216,51200,32,28.5366,4,8,128,1794.1898,nfs
write,0,4096,5120,128,11.3611,4,32,512,450.66,nfs
read,0,4096,5120,128,0.0343,4,32,512,149373.813,nfs
write,0,4096,5120,8,11.6082,4,2,32,441.0667,nfs
read,0,4096,5120,8,0.168,4,2,32,30474.8755,nfs
write,0,1024,1024,128,2.2969,4,32,512,445.827,nfs
read,0,1024,1024,128,0.0105,4,32,512,97728.3969,nfs
write,0,1048576,1024,256,2.5651,4,64,1024,399.2029,nfs
read,0,1048576,1024,256,0.0428,4,64,1024,23944.4093,nfs
write,0,67108864,5120,16,11.4746,4,4,64,446.2011,nfs
read,0,67108864,5120,16,0.1122,4,4,64,45639.9757,nfs
write,0,1024,51200,512,113.287,4,128,2048,451.9493,nfs
read,0,1024,51200,512,0.3616,4,128,2048,141594.0281,nfs
write,0,4194304,51200,16,113.9625,4,4,64,449.2705,nfs
read,0,4194304,51200,16,113.8011,4,4,64,449.9077,nfs
write,0,4096,1024,32,2.3046,4,8,128,444.3214,nfs
read,0,4096,1024,32,0.0164,4,8,128,62596.5999,nfs
write,0,1048576,5120,128,11.3566,4,32,512,450.8384,nfs
read,0,1048576,5120,128,0.0354,4,32,512,144554.9088,nfs
write,0,4194304,51200,8,114.8422,4,2,32,445.8291,nfs
read,0,4194304,51200,8,57.1576,4,2,32,895.7684,nfs
write,0,1048576,1024,32,2.2994,4,8,128,445.3381,nfs
read,0,1048576,1024,32,0.0115,4,8,128,89053.8395,nfs
write,0,67108864,1024,8,2.3431,4,2,32,437.0205,nfs
read,0,67108864,1024,8,0.0346,4,2,32,29552.9442,nfs
write,0,67108864,1024,16,2.3175,4,4,64,441.8614,nfs
read,0,67108864,1024,16,0.0267,4,4,64,38318.1161,nfs
write,0,1048576,51200,512,113.2943,4,128,2048,451.9202,nfs
read,0,1048576,51200,512,0.2702,4,128,2048,189460.541,nfs
write,0,1024,1024,128,2.3015,4,32,512,444.9284,nfs
read,0,1024,1024,128,0.0166,4,32,512,61526.6221,nfs
write,0,4194304,5120,128,11.3577,4,32,512,450.7951,nfs
read,0,4194304,5120,128,0.0256,4,32,512,200386.4406,nfs
write,0,1024,51200,16,115.0427,4,4,64,445.052,nfs
read,0,1024,51200,16,113.7367,4,4,64,450.1627,nfs
write,0,64,1024,8,3.7535,4,2,32,272.8155,nfs
read,0,64,1024,8,0.9368,4,2,32,1093.0739,nfs
write,0,1048576,51200,512,113.2469,4,128,2048,452.1096,nfs
read,0,1048576,51200,512,0.2703,4,128,2048,189420.7785,nfs
write,0,1024,5120,512,11.389,4,128,2048,449.5575,nfs
read,0,1024,5120,512,0.1439,4,128,2048,35569.7854,nfs
write,0,1024,1024,4,2.5321,4,1,16,404.4137,nfs
read,0,1024,1024,4,0.1312,4,1,16,7803.2335,nfs
write,0,4096,5120,512,11.3617,4,128,2048,450.6377,nfs
read,0,4096,5120,512,0.1911,4,128,2048,26787.4136,nfs
write,0,1048576,51200,16,114.0434,4,4,64,448.9518,nfs
read,0,1048576,51200,16,113.7387,4,4,64,450.1547,nfs
write,0,1048576,5120,512,11.3913,4,128,2048,449.4658,nfs
read,0,1048576,5120,512,0.2178,4,128,2048,23508.3648,nfs
write,0,1048576,5120,128,11.3602,4,32,512,450.6963,nfs
read,0,1048576,5120,128,0.0339,4,32,512,150960.1389,nfs
write,0,4194304,1024,32,2.3125,4,8,128,442.8021,nfs
read,0,4194304,1024,32,0.012,4,8,128,85358.7845,nfs
write,0,67108864,51200,32,113.6171,4,8,128,450.6365,nfs
read,0,67108864,51200,32,113.6921,4,8,128,450.3391,nfs
write,0,268435456,1024,4,2.3696,4,1,16,432.1452,nfs
read,0,268435456,1024,4,0.0588,4,1,16,17417.2305,nfs
write,0,1048576,5120,512,11.3862,4,128,2048,449.668,nfs
read,0,1048576,5120,512,0.1984,4,128,2048,25801.3462,nfs
write,0,4096,1024,4,2.4063,4,1,16,425.551,nfs
read,0,4096,1024,4,0.0626,4,1,16,16369.0044,nfs
write,0,4096,1024,8,2.3606,4,2,32,433.7848,nfs
read,0,4096,1024,8,0.0361,4,2,32,28386.2093,nfs
write,0,64,1024,256,2.4722,4,64,1024,414.2076,nfs
read,0,64,1024,256,0.1066,4,64,1024,9610.433,nfs
write,0,4096,1024,16,2.3206,4,4,64,441.2724,nfs
read,0,4096,1024,16,0.0193,4,4,64,53040.0962,nfs
write,0,16777216,51200,32,113.6584,4,8,128,450.4726,nfs
read,0,16777216,51200,32,113.6077,4,8,128,450.6735,nfs
write,0,16777216,1024,4,2.3749,4,1,16,431.1749,nfs
read,0,16777216,1024,4,0.0492,4,1,16,20814.1313,nfs
write,0,1048576,5120,32,11.4026,4,8,128,449.0211,nfs
read,0,1048576,5120,32,0.0515,4,8,128,99438.4563,nfs
write,0,1024,5120,128,11.3847,4,32,512,449.7281,nfs
read,0,1024,5120,128,0.0273,4,32,512,187488.4971,nfs
write,0,4096,51200,32,113.6062,4,8,128,450.6796,nfs
read,0,4096,51200,32,113.5748,4,8,128,450.8041,nfs
write,0,16777216,5120,16,11.4594,4,4,64,446.7933,nfs
read,0,16777216,5120,16,0.1009,4,4,64,50722.8914,nfs
write,0,16777216,5120,128,9.1214,4,32,512,449.0544,nfs
read,0,16777216,5120,128,0.0719,4,32,512,56969.0649,nfs
write,0,1024,51200,16,115.2718,4,4,64,444.1676,nfs
read,0,1024,51200,16,113.6795,4,4,64,450.3892,nfs
write,0,4194304,1024,4,2.3761,4,1,16,430.9649,nfs
read,0,4194304,1024,4,0.042,4,1,16,24365.9035,nfs
write,0,4194304,1024,8,2.3509,4,2,32,435.5773,nfs
read,0,4194304,1024,8,0.0237,4,2,32,43270.1427,nfs
write,0,67108864,5120,4,11.781,4,1,16,434.599,nfs
read,0,67108864,5120,4,0.2601,4,1,16,19684.0882,nfs
write,0,4096,1024,32,2.2993,4,8,128,445.3493,nfs
read,0,4096,1024,32,0.0135,4,8,128,75808.0516,nfs
write,0,67108864,5120,4,11.7792,4,1,16,434.6645,nfs
read,0,67108864,5120,4,0.2481,4,1,16,20634.903,nfs
write,0,1048576,51200,4,115.9663,4,1,16,441.5077,nfs
read,0,1048576,51200,4,114.1628,4,1,16,448.4822,nfs
write,0,4096,51200,256,113.2872,4,64,1024,451.9488,nfs
read,0,4096,51200,256,0.2299,4,64,1024,222714.9084,nfs
write,0,1048576,51200,64,113.5263,4,16,256,450.9966,nfs
read,0,1048576,51200,64,7.1895,4,16,256,7121.4857,nfs
write,0,67108864,5120,64,9.1327,4,16,256,448.4981,nfs
read,0,67108864,5120,64,0.0483,4,16,256,84726.8199,nfs
write,0,16777216,51200,16,113.9126,4,4,64,449.4675,nfs
read,0,16777216,51200,16,113.7567,4,4,64,450.0835,nfs
write,0,1024,5120,16,11.6628,4,4,64,439.002,nfs
read,0,1024,5120,16,0.1646,4,4,64,31106.1874,nfs
write,0,4096,51200,4,116.1532,4,1,16,440.7971,nfs
read,0,4096,51200,4,114.2038,4,1,16,448.3215,nfs
write,0,4096,1024,512,2.4166,4,128,2048,423.7415,nfs
read,0,4096,1024,512,0.2002,4,128,2048,5113.9397,nfs
write,0,1048576,51200,64,113.4918,4,16,256,451.1338,nfs
read,0,1048576,51200,64,28.7644,4,16,256,1779.9755,nfs
write,0,1024,1024,512,2.4418,4,128,2048,419.3665,nfs
read,0,1024,1024,512,0.2186,4,128,2048,4685.3651,nfs
write,0,4096,51200,8,115.0264,4,2,32,445.1151,nfs
read,0,4096,51200,8,1.5919,4,2,32,32162.9591,nfs
write,0,4194304,5120,64,11.3687,4,16,256,450.3605,nfs
read,0,4194304,5120,64,0.0325,4,16,256,157749.9144,nfs
write,0,16777216,51200,16,113.9202,4,4,64,449.4373,nfs
read,0,16777216,51200,16,113.8138,4,4,64,449.8577,nfs
write,0,16777216,51200,128,113.3469,4,32,512,451.7106,nfs
read,0,16777216,51200,128,0.4687,4,32,512,109241.3566,nfs
write,0,1024,5120,256,11.3678,4,64,1024,450.3948,nfs
read,0,1024,5120,256,0.0424,4,64,1024,120815.6776,nfs
write,0,4096,1024,512,2.399,4,128,2048,426.8423,nfs
read,0,4096,1024,512,0.1792,4,128,2048,5713.4559,nfs
write,0,1024,5120,64,11.4122,4,16,256,448.6436,nfs
read,0,1024,5120,64,0.0433,4,16,256,118328.9457,nfs
write,0,4096,51200,8,114.9621,4,2,32,445.3643,nfs
read,0,4096,51200,8,1.7999,4,2,32,28445.6786,nfs
write,0,4194304,1024,32,2.3092,4,8,128,443.4418,nfs
read,0,4194304,1024,32,0.0115,4,8,128,89221.4634,nfs
write,0,1024,5120,16,11.6566,4,4,64,439.2377,nfs
read,0,1024,5120,16,0.167,4,4,64,30650.5305,nfs
write,0,1024,1024,256,2.3526,4,64,1024,435.2708,nfs
read,0,1024,1024,256,0.052,4,64,1024,19682.6469,nfs
write,0,64,1024,16,3.0187,4,4,64,339.2188,nfs
read,0,64,1024,16,0.4699,4,4,64,2179.1482,nfs
write,0,4096,51200,512,113.2683,4,128,2048,452.024,nfs
read,0,4096,51200,512,0.3285,4,128,2048,155862.4339,nfs
write,0,16777216,1024,16,2.3308,4,4,64,439.343,nfs
read,0,16777216,1024,16,0.0268,4,4,64,38212.1391,nfs
write,0,16777216,51200,32,113.5851,4,8,128,450.7635,nfs
read,0,16777216,51200,32,113.6605,4,8,128,450.4642,nfs
write,0,4194304,1024,256,2.3291,4,64,1024,439.6476,nfs
read,0,4194304,1024,256,0.0508,4,64,1024,20155.0208,nfs
write,0,4194304,51200,32,113.6036,4,8,128,450.6898,nfs
read,0,4194304,51200,32,42.678,4,8,128,1199.6821,nfs
write,0,16777216,1024,32,2.2981,4,8,128,445.5807,nfs
read,0,16777216,1024,32,0.0183,4,8,128,55836.9304,nfs
write,0,4194304,5120,128,11.3495,4,32,512,451.1227,nfs
read,0,4194304,5120,128,0.0418,4,32,512,122382.3123,nfs
write,0,1024,1024,64,2.334,4,16,256,438.7327,nfs
read,0,1024,1024,64,0.0111,4,16,256,91890.9635,nfs
write,0,1024,51200,4,122.8476,4,1,16,416.7764,nfs
read,0,1024,51200,4,114.245,4,1,16,448.1596,nfs
write,0,4194304,51200,64,113.5014,4,16,256,451.0956,nfs
read,0,4194304,51200,64,0.3425,4,16,256,149483.1193,nfs
write,0,4096,5120,32,11.4062,4,8,128,448.8779,nfs
read,0,4096,5120,32,0.0649,4,8,128,78914.1584,nfs
write,0,67108864,5120,8,11.5873,4,2,32,441.8617,nfs
read,0,67108864,5120,8,0.1627,4,2,32,31474.4305,nfs
write,0,1024,1024,16,2.3431,4,4,64,437.0333,nfs
read,0,1024,1024,16,0.0342,4,4,64,29940.6958,nfs
write,0,1048576,1024,16,2.3089,4,4,64,443.5054,nfs
read,0,1048576,1024,16,0.0137,4,4,64,74687.0819,nfs
write,0,4194304,5120,16,11.4644,4,4,64,446.6006,nfs
read,0,4194304,5120,16,0.0696,4,4,64,73588.9386,nfs
write,0,1024,1024,256,2.3338,4,64,1024,438.7779,nfs
read,0,1024,1024,256,0.0516,4,64,1024,19854.0368,nfs
write,0,16777216,5120,16,11.4701,4,4,64,446.3798,nfs
read,0,16777216,5120,16,0.0975,4,4,64,52529.727,nfs
write,0,16777216,1024,8,2.3362,4,2,32,438.3203,nfs
read,0,16777216,1024,8,0.0307,4,2,32,33329.5957,nfs
write,0,1024,51200,64,113.7851,4,16,256,449.9709,nfs
read,0,1024,51200,64,113.5271,4,16,256,450.9937,nfs
write,0,16777216,51200,256,108.771,4,64,1024,451.885,nfs
read,0,16777216,51200,256,0.2494,4,64,1024,197090.2285,nfs
write,0,64,1024,32,2.6627,4,8,128,384.5737,nfs
read,0,64,1024,32,0.2397,4,8,128,4272.1376,nfs
write,0,1048576,5120,256,11.3744,4,64,1024,450.1325,nfs
read,0,1048576,5120,256,0.0454,4,64,1024,112751.3695,nfs
write,0,1024,1024,8,2.4339,4,2,32,420.7316,nfs
read,0,1024,1024,8,0.0661,4,2,32,15495.2814,nfs
write,0,16777216,5120,4,11.7697,4,1,16,435.0142,nfs
read,0,16777216,5120,4,0.2007,4,1,16,25506.2904,nfs
write,0,1024,5120,4,12.5129,4,1,16,409.1778,nfs
read,0,1024,5120,4,0.6395,4,1,16,8006.8172,nfs
write,0,1048576,5120,64,11.3661,4,16,256,450.461,nfs
read,0,1048576,5120,64,0.0321,4,16,256,159675.0364,nfs
write,0,1024,5120,256,11.3683,4,64,1024,450.3769,nfs
read,0,1024,5120,256,0.0426,4,64,1024,120128.3637,nfs
write,0,4194304,5120,8,11.5728,4,2,32,442.4156,nfs
read,0,4194304,5120,8,0.1189,4,2,32,43075.7963,nfs
write,0,1073741824,5120,4,9.4176,4,1,16,434.9301,nfs
read,0,1073741824,5120,4,0.2053,4,1,16,19953.1653,nfs
write,0,4096,1024,16,2.3291,4,4,64,439.662,nfs
read,0,4096,1024,16,0.0252,4,4,64,40697.265,nfs
write,0,1048576,5120,4,11.786,4,1,16,434.4155,nfs
read,0,1048576,5120,4,0.166,4,1,16,30835.9825,nfs
write,0,16777216,1024,32,2.3536,4,8,128,435.0856,nfs
read,0,16777216,1024,32,0.0209,4,8,128,49062.4849,nfs
write,0,4194304,1024,4,2.3828,4,1,16,429.7427,nfs
read,0,4194304,1024,4,0.0418,4,1,16,24526.0867,nfs
write,0,4194304,51200,512,113.2523,4,128,2048,452.0881,nfs
read,0,4194304,51200,512,0.2577,4,128,2048,198653.1225,nfs
write,0,1048576,1024,8,2.3404,4,2,32,437.5306,nfs
read,0,1048576,1024,8,0.0237,4,2,32,43239.7154,nfs
write,0,1048576,1024,4,2.3772,4,1,16,430.766,nfs
read,0,1048576,1024,4,0.0418,4,1,16,24480.4801,nfs
write,0,4096,5120,16,11.5012,4,4,64,445.1706,nfs
read,0,4096,5120,16,0.115,4,4,64,44519.9812,nfs
write,0,4096,5120,4,11.8082,4,1,16,433.5958,nfs
read,0,4096,5120,4,0.2706,4,1,16,18920.3405,nfs
write,0,16777216,51200,256,108.7582,4,64,1024,451.9383,nfs
read,0,16777216,51200,256,0.309,4,64,1024,159048.1079,nfs
write,0,4096,51200,128,113.3378,4,32,512,451.7471,nfs
read,0,4096,51200,128,0.2593,4,32,512,197434.1063,nfs
write,0,16777216,51200,128,113.4231,4,32,512,451.4073,nfs
read,0,16777216,51200,128,0.3477,4,32,512,147258.7314,nfs
write,0,1024,1024,32,2.3282,4,8,128,439.8191,nfs
read,0,1024,1024,32,0.0182,4,8,128,56374.1273,nfs
write,0,4096,51200,4,116.2039,4,1,16,440.6047,nfs
read,0,4096,51200,4,114.1703,4,1,16,448.4527,nfs
write,0,1024,5120,128,11.5661,4,32,512,442.672,nfs
read,0,1024,5120,128,0.3666,4,32,512,13964.9526,nfs
write,0,1024,5120,4,12.5094,4,1,16,409.2909,nfs
read,0,1024,5120,4,0.6372,4,1,16,8035.4496,nfs
write,0,4096,5120,16,11.4869,4,4,64,445.7265,nfs
read,0,4096,5120,16,0.0894,4,4,64,57240.7894,nfs
write,0,1024,51200,128,113.8518,4,32,512,449.7074,nfs
read,0,1024,51200,128,42.5971,4,32,512,1201.9603,nfs
write,0,4096,51200,32,113.6216,4,8,128,450.6184,nfs
read,0,4096,51200,32,113.5811,4,8,128,450.7793,nfs
write,0,4194304,1024,32,2.3105,4,8,128,443.1938,nfs
read,0,4194304,1024,32,0.0144,4,8,128,70881.1559,nfs
write,0,64,1024,64,2.4824,4,16,256,412.5027,nfs
read,0,64,1024,64,0.1187,4,16,256,8623.5871,nfs
write,0,16777216,51200,16,113.9048,4,4,64,449.4981,nfs
read,0,16777216,51200,16,113.8877,4,4,64,449.5658,nfs
write,0,1024,5120,8,12.0123,4,2,32,426.2309,nfs
read,0,1024,5120,8,0.3362,4,2,32,15230.2643,nfs
write,0,1048576,5120,16,11.4747,4,4,64,446.2,nfs
read,0,1048576,5120,16,0.0683,4,4,64,74960.5794,nfs
write,0,268435456,5120,4,11.7774,4,1,16,434.7297,nfs
read,0,268435456,5120,4,0.261,4,1,16,19613.9013,nfs
write,0,67108864,5120,64,9.097,4,16,256,450.2594,nfs
read,0,67108864,5120,64,0.0454,4,16,256,90286.2867,nfs
write,0,16777216,1024,4,2.3782,4,1,16,430.5737,nfs
read,0,16777216,1024,4,0.0521,4,1,16,19648.0527,nfs
write,0,268435456,5120,4,11.7525,4,1,16,435.6518,nfs
read,0,268435456,5120,4,0.2547,4,1,16,20102.086,nfs
write,0,1048576,1024,256,2.2884,4,64,1024,447.4785,nfs
read,0,1048576,1024,256,0.02,4,64,1024,51076.1072,nfs
write,0,1024,5120,4,12.5275,4,1,16,408.7012,nfs
read,0,1024,5120,4,0.6365,4,1,16,8043.6758,nfs
write,0,67108864,51200,512,72.4982,4,128,2048,451.9835,nfs
read,0,67108864,51200,512,0.2752,4,128,2048,119051.4183,nfs
write,0,16777216,51200,4,116.1092,4,1,16,440.9643,nfs
read,0,16777216,51200,4,114.1764,4,1,16,448.429,nfs
write,0,4096,5120,64,11.377,4,16,256,450.0325,nfs
read,0,4096,5120,64,0.0373,4,16,256,137424.4042,nfs
write,0,1048576,51200,128,113.3732,4,32,512,451.6059,nfs
read,0,1048576,51200,128,0.3408,4,32,512,150248.2046,nfs
write,0,1024,1024,512,2.3946,4,128,2048,427.6222,nfs
read,0,1024,1024,512,0.1924,4,128,2048,5321.3338,nfs
write,0,1048576,51200,8,115.0218,4,2,32,445.1331,nfs
read,0,1048576,51200,8,1.0946,4,2,32,46774.1002,nfs
write,0,4194304,5120,512,9.1753,4,128,2048,446.4143,nfs
read,0,4194304,5120,512,0.2099,4,128,2048,19510.3271,nfs
write,0,1048576,51200,256,113.2473,4,64,1024,452.1078,nfs
read,0,1048576,51200,256,0.1767,4,64,1024,289782.5907,nfs
write,0,268435456,5120,16,9.1568,4,4,64,447.3182,nfs
read,0,268435456,5120,16,0.0833,4,4,64,49199.6179,nfs
write,0,4096,5120,8,11.6282,4,2,32,440.3097,nfs
read,0,4096,5120,8,0.1912,4,2,32,26780.9173,nfs
write,0,1048576,1024,256,2.3094,4,64,1024,443.3972,nfs
read,0,1048576,1024,256,0.0403,4,64,1024,25396.3303,nfs
write,0,16777216,5120,32,11.4068,4,8,128,448.8551,nfs
read,0,16777216,5120,32,0.0595,4,8,128,86042.1572,nfs
write,0,67108864,5120,32,9.1339,4,8,128,448.438,nfs
read,0,67108864,5120,32,0.0778,4,8,128,52614.9982,nfs
write,0,67108864,51200,16,113.9013,4,4,64,449.5121,nfs
read,0,67108864,51200,16,113.7418,4,4,64,450.1423,nfs
write,0,4096,51200,8,114.9002,4,2,32,445.604,nfs
read,0,4096,51200,8,57.1907,4,2,32,895.2507,nfs
write,0,67108864,1024,4,2.3753,4,1,16,431.1039,nfs
read,0,67108864,1024,4,0.0553,4,1,16,18519.1555,nfs
write,0,1024,51200,256,113.4004,4,64,1024,451.4974,nfs
read,0,1024,51200,256,0.232,4,64,1024,220686.8357,nfs
write,0,1024,1024,64,2.337,4,16,256,438.1672,nfs
read,0,1024,1024,64,0.0103,4,16,256,99290.6536,nfs
write,0,4194304,51200,8,114.889,4,2,32,445.6475,nfs
read,0,4194304,51200,8,1.1291,4,2,32,45345.7229,nfs
write,0,67108864,5120,32,9.1345,4,8,128,448.4106,nfs
read,0,67108864,5120,32,0.0619,4,8,128,66124.9479,nfs
write,0,4096,1024,32,2.3173,4,8,128,441.9017,nfs
read,0,4096,1024,32,0.0147,4,8,128,69464.8332,nfs
write,0,1024,51200,32,114.1997,4,8,128,448.3373,nfs
read,0,1024,51200,32,113.6428,4,8,128,450.5345,nfs
write,0,1048576,1024,64,2.2955,4,16,256,446.0939,nfs
read,0,1048576,1024,64,0.0082,4,16,256,124159.0016,nfs
write,0,1048576,1024,512,2.4319,4,128,2048,421.0639,nfs
read,0,1048576,1024,512,0.2021,4,128,2048,5067.1224,nfs
write,0,4096,5120,4,11.8136,4,1,16,433.4002,nfs
read,0,4096,5120,4,0.2712,4,1,16,18878.5434,nfs
write,0,4194304,51200,128,113.3649,4,32,512,451.639,nfs
read,0,4194304,51200,128,0.3238,4,32,512,158144.1478,nfs
write,0,16777216,51200,4,115.816,4,1,16,442.0807,nfs
read,0,16777216,51200,4,114.1623,4,1,16,448.4843,nfs
write,0,1048576,1024,128,2.2897,4,32,512,447.2129,nfs
read,0,1048576,1024,128,0.0111,4,32,512,91992.9316,nfs
write,0,16777216,51200,8,114.9582,4,2,32,445.3791,nfs
read,0,16777216,51200,8,113.9314,4,2,32,449.3933,nfs
write,0,16777216,51200,256,108.7473,4,64,1024,451.9836,nfs
read,0,16777216,51200,256,0.2506,4,64,1024,196110.7807,nfs
write,0,1024,51200,32,114.1626,4,8,128,448.4831,nfs
read,0,1024,51200,32,113.6345,4,8,128,450.5674,nfs
write,0,4194304,51200,32,113.5686,4,8,128,450.8287,nfs
read,0,4194304,51200,32,113.6197,4,8,128,450.6261,nfs
write,0,1024,5120,32,11.4887,4,8,128,445.6548,nfs
read,0,1024,5120,32,0.0845,4,8,128,60605.3748,nfs
write,0,268435456,5120,4,11.7571,4,1,16,435.4805,nfs
read,0,268435456,5120,4,0.2572,4,1,16,19903.4326,nfs
write,0,1024,51200,4,122.7404,4,1,16,417.1407,nfs
read,0,1024,51200,4,114.1906,4,1,16,448.3733,nfs
write,0,4096,51200,64,113.4732,4,16,256,451.208,nfs
read,0,4096,51200,64,28.4586,4,16,256,1799.1032,nfs
write,0,1024,5120,512,11.4353,4,128,2048,447.7346,nfs
read,0,1024,5120,512,0.1713,4,128,2048,29886.5214,nfs
write,0,16777216,5120,256,9.0883,4,64,1024,450.6898,nfs
read,0,16777216,5120,256,0.0452,4,64,1024,90646.312,nfs
write,0,4194304,1024,128,2.3109,4,32,512,443.1091,nfs
read,0,4194304,1024,128,0.0122,4,32,512,83680.2714,nfs
write,0,64,1024,512,2.6729,4,128,2048,383.0982,nfs
read,0,64,1024,512,0.2469,4,128,2048,4146.9704,nfs
write,0,4194304,51200,512,113.2848,4,128,2048,451.9582,nfs
read,0,4194304,51200,512,0.2957,4,128,2048,173122.9033,nfs
write,0,1073741824,5120,4,9.4154,4,1,16,435.0311,nfs
read,0,1073741824,5120,4,0.2052,4,1,16,19960.7702,nfs
write,0,67108864,51200,32,113.6459,4,8,128,450.5221,nfs
read,0,67108864,51200,32,113.6292,4,8,128,450.5883,nfs
write,0,1048576,51200,16,113.948,4,4,64,449.3276,nfs
read,0,1048576,51200,16,113.8459,4,4,64,449.7308,nfs
write,0,16777216,1024,16,2.3103,4,4,64,443.236,nfs
read,0,16777216,1024,16,0.0262,4,4,64,39084.4632,nfs
write,0,1048576,1024,128,2.3036,4,32,512,444.5277,nfs
read,0,1048576,1024,128,0.011,4,32,512,92771.3119,nfs
write,0,4194304,5120,512,9.1639,4,128,2048,446.9702,nfs
read,0,4194304,5120,512,0.1808,4,128,2048,22652.6249,nfs
write,0,4194304,1024,256,2.4572,4,64,1024,416.7376,nfs
read,0,4194304,1024,256,0.0477,4,64,1024,21479.8208,nfs
write,0,4096,1024,128,2.2981,4,32,512,445.584,nfs
read,0,4096,1024,128,0.0125,4,32,512,81895.2283,nfs
write,0,1024,1024,8,2.4189,4,2,32,423.3304,nfs
read,0,1024,1024,8,0.0673,4,2,32,15225.9858,nfs
write,0,1048576,5120,8,11.6124,4,2,32,440.9065,nfs
read,0,1048576,5120,8,0.1129,4,2,32,45335.3699,nfs
write,0,4096,51200,256,113.374,4,64,1024,451.6028,nfs
read,0,4096,51200,256,0.1979,4,64,1024,258768.4838,nfs
write,0,64,1024,128,2.4024,4,32,512,426.2438,nfs
read,0,64,1024,128,0.062,4,32,512,16525.5947,nfs
write,0,268435456,5120,16,9.1671,4,4,64,446.8158,nfs
read,0,268435456,5120,16,0.09,4,4,64,45519.3304,nfs
write,0,1024,5120,32,11.5025,4,8,128,445.122,nfs
read,0,1024,5120,32,0.0856,4,8,128,59815.4551,nfs
write,0,67108864,1024,4,2.3777,4,1,16,430.6602,nfs
read,0,67108864,1024,4,0.061,4,1,16,16797.9669,nfs
write,0,4194304,51200,128,113.3637,4,32,512,451.6437,nfs
read,0,4194304,51200,128,0.2951,4,32,512,173475.7638,nfs
write,0,67108864,1024,8,2.3328,4,2,32,438.963,nfs
read,0,67108864,1024,8,0.0349,4,2,32,29340.3067,nfs
write,0,1024,51200,4,122.5749,4,1,16,417.7039,nfs
read,0,1024,51200,4,114.1841,4,1,16,448.3988,nfs
write,0,4096,1024,128,2.3047,4,32,512,444.3087,nfs
read,0,4096,1024,128,0.0128,4,32,512,80200.8342,nfs
write,0,4096,51200,512,113.266,4,128,2048,452.0332,nfs
read,0,4096,51200,512,0.2932,4,128,2048,174599.3518,nfs
write,0,16777216,51200,64,113.4813,4,16,256,451.1758,nfs
read,0,16777216,51200,64,28.45,4,16,256,1799.6502,nfs
write,0,1048576,1024,16,2.3216,4,4,64,441.0658,nfs
read,0,1048576,1024,16,0.0149,4,4,64,68586.3063,nfs
write,0,1048576,51200,32,113.6307,4,8,128,450.5823,nfs
read,0,1048576,51200,32,113.7113,4,8,128,450.2631,nfs
write,0,64,1024,512,2.7603,4,128,2048,370.9769,nfs
read,0,64,1024,512,0.2322,4,128,2048,4409.5276,nfs
write,0,1024,51200,8,117.2319,4,2,32,436.7413,nfs
read,0,1024,51200,8,3.2865,4,2,32,15579.0452,nfs
write,0,4194304,5120,16,11.4572,4,4,64,446.8819,nfs
read,0,4194304,5120,16,0.0761,4,4,64,67236.4977,nfs
write,0,1048576,5120,16,11.4606,4,4,64,446.7468,nfs
read,0,1048576,5120,16,0.0637,4,4,64,80365.9539,nfs
write,0,4194304,51200,256,113.2505,4,64,1024,452.095,nfs
read,0,4194304,51200,256,0.1991,4,64,1024,257179.1833,nfs
write,0,4096,51200,16,114.0217,4,4,64,449.0374,nfs
read,0,4096,51200,16,113.8055,4,4,64,449.8904,nfs
write,0,268435456,5120,8,9.2562,4,2,32,442.5142,nfs
read,0,268435456,5120,8,0.1257,4,2,32,32576.5279,nfs
write,0,1048576,5120,32,11.4035,4,8,128,448.9842,nfs
read,0,1048576,5120,32,0.0552,4,8,128,92749.925,nfs
write,0,1024,5120,128,11.386,4,32,512,449.6754,nfs
read,0,1024,5120,128,0.0287,4,32,512,178125.0288,nfs
write,0,4096,1024,128,2.3158,4,32,512,442.1884,nfs
read,0,4096,1024,128,0.0101,4,32,512,100899.2548,nfs
write,0,1024,51200,512,113.6438,4,128,2048,450.5305,nfs
read,0,1024,51200,512,0.3578,4,128,2048,143092.1366,nfs
