nodes,total,in_o0,in_o1,in_o2,exec_o0,exec_o1,exec_o2,out_o0,out_o1,out_o2,critical_path,openmm_stor,aggregate_stor,training_stor,inference_stor,in_openmm,read_openmm,write_openmm,out_openmm,in_aggregate,read_aggregate,write_aggregate,out_aggregate,in_training,read_training,write_training,out_training,in_inference,read_inference,write_inference,out_inference
4,6.712437929556218,0.0,0.0532334150397215,0.0268923616797743,0.2356378921481932,5.893275673620835,0.4303109022903254,0.0459995619746752,0.0,0.0270881228026942,read_openmm(3)->write_openmm(3)->stage_out_openmm(6)->stage_in_aggregate(16)->read_training(1)->write_training(1)->stage_in_inference(4)->read_inference(1)->write_inference(1)->stage_out_inference(4),beegfs,ssd,beegfs,tmpfs,-,0.117818,0.117820,0.046000,0.053233,0.268205,0.268205,-,-,1.846054,4.047221,-,0.026892,0.215155,0.215155,0.027088
4,6.717657346690403,0.0,0.0,0.0211950940044729,0.2356378921481932,5.893275673620835,0.4611885217184416,0.0386515502096743,0.0,0.0677086149887858,read_openmm(3)->write_openmm(3)->stage_out_openmm(24)->read_training(1)->write_training(1)->stage_in_inference(13)->read_inference(1)->write_inference(1)->stage_out_inference(4),beegfs,beegfs,beegfs,ssd,-,0.117818,0.117820,0.038652,-,0.740471,0.740471,-,-,1.846054,4.047221,-,0.021195,0.230594,0.230594,0.067709
4,6.730411628392919,0.0,0.071207113876422,0.0268923616797743,0.2356378921481932,5.893275673620835,0.4303109022903254,0.0459995619746752,0.0,0.0270881228026942,read_openmm(3)->write_openmm(3)->stage_out_openmm(6)->stage_in_aggregate(4)->read_training(1)->write_training(1)->stage_in_inference(4)->read_inference(1)->write_inference(1)->stage_out_inference(4),beegfs,tmpfs,beegfs,tmpfs,-,0.117818,0.117820,0.046000,0.071207,0.249123,0.249123,-,-,1.846054,4.047221,-,0.026892,0.215155,0.215155,0.027088
2,6.746024072441367,0.0,0.0,0.0268923616797743,0.32245745007306303,5.893275673620835,0.4303109022903254,0.0459995619746752,0.0,0.0270881228026942,read_openmm(6)->write_openmm(6)->stage_out_openmm(6)->read_training(1)->write_training(1)->stage_in_inference(4)->read_inference(1)->write_inference(1)->stage_out_inference(4),beegfs,beegfs,beegfs,tmpfs,-,0.161227,0.161230,0.046000,-,0.740471,0.740471,-,-,1.846054,4.047221,-,0.026892,0.215155,0.215155,0.027088
4,6.770890761730124,0.0,0.0532334150397215,0.0211950940044729,0.2356378921481932,5.893275673620835,0.4611885217184416,0.0386515502096743,0.0,0.0677086149887858,read_openmm(3)->write_openmm(3)->stage_out_openmm(24)->stage_in_aggregate(16)->read_training(1)->write_training(1)->stage_in_inference(13)->read_inference(1)->write_inference(1)->stage_out_inference(4),beegfs,ssd,beegfs,ssd,-,0.117818,0.117820,0.038652,0.053233,0.268205,0.268205,-,-,1.846054,4.047221,-,0.021195,0.230594,0.230594,0.067709
4,6.796212472331825,0.0,0.071207113876422,0.0211950940044729,0.2356378921481932,5.893275673620835,0.4611885217184416,0.0459995619746752,0.0,0.0677086149887858,read_openmm(3)->write_openmm(3)->stage_out_openmm(6)->stage_in_aggregate(4)->read_training(1)->write_training(1)->stage_in_inference(13)->read_inference(1)->write_inference(1)->stage_out_inference(4),beegfs,tmpfs,beegfs,ssd,-,0.117818,0.117820,0.046000,0.071207,0.249123,0.249123,-,-,1.846054,4.047221,-,0.021195,0.230594,0.230594,0.067709
2,6.799257487481088,0.0,0.0532334150397215,0.0268923616797743,0.32245745007306303,5.893275673620835,0.4303109022903254,0.0459995619746752,0.0,0.0270881228026942,read_openmm(6)->write_openmm(6)->stage_out_openmm(6)->stage_in_aggregate(16)->read_training(1)->write_training(1)->stage_in_inference(4)->read_inference(1)->write_inference(1)->stage_out_inference(4),beegfs,ssd,beegfs,tmpfs,-,0.161227,0.161230,0.046000,0.053233,0.268205,0.268205,-,-,1.846054,4.047221,-,0.026892,0.215155,0.215155,0.027088
1,6.801883209363498,0.0,0.0,0.0268923616797743,0.3783165869951943,5.893275673620835,0.4303109022903254,0.0459995619746752,0.0,0.0270881228026942,read_openmm(12)->write_openmm(12)->stage_out_openmm(6)->read_training(1)->write_training(1)->stage_in_inference(4)->read_inference(1)->write_inference(1)->stage_out_inference(4),beegfs,beegfs,beegfs,tmpfs,-,0.189156,0.189160,0.046000,-,0.740471,0.740471,-,-,1.846054,4.047221,-,0.026892,0.215155,0.215155,0.027088
2,6.804476904615273,0.0,0.0,0.0211950940044729,0.32245745007306303,5.893275673620835,0.4611885217184416,0.0386515502096743,0.0,0.0677086149887858,read_openmm(6)->write_openmm(6)->stage_out_openmm(24)->read_training(1)->write_training(1)->stage_in_inference(13)->read_inference(1)->write_inference(1)->stage_out_inference(4),beegfs,beegfs,beegfs,ssd,-,0.161227,0.161230,0.038652,-,0.740471,0.740471,-,-,1.846054,4.047221,-,0.021195,0.230594,0.230594,0.067709
2,6.817231186317789,0.0,0.071207113876422,0.0268923616797743,0.32245745007306303,5.893275673620835,0.4303109022903254,0.0459995619746752,0.0,0.0270881228026942,read_openmm(6)->write_openmm(6)->stage_out_openmm(6)->stage_in_aggregate(4)->read_training(1)->write_training(1)->stage_in_inference(4)->read_inference(1)->write_inference(1)->stage_out_inference(4),beegfs,tmpfs,beegfs,tmpfs,-,0.161227,0.161230,0.046000,0.071207,0.249123,0.249123,-,-,1.846054,4.047221,-,0.026892,0.215155,0.215155,0.027088
1,6.85511662440322,0.0,0.0532334150397215,0.0268923616797743,0.3783165869951943,5.893275673620835,0.4303109022903254,0.0459995619746752,0.0,0.0270881228026942,read_openmm(12)->write_openmm(12)->stage_out_openmm(6)->stage_in_aggregate(16)->read_training(1)->write_training(1)->stage_in_inference(4)->read_inference(1)->write_inference(1)->stage_out_inference(4),beegfs,ssd,beegfs,tmpfs,-,0.189156,0.189160,0.046000,0.053233,0.268205,0.268205,-,-,1.846054,4.047221,-,0.026892,0.215155,0.215155,0.027088
2,6.857710319654994,0.0,0.0532334150397215,0.0211950940044729,0.32245745007306303,5.893275673620835,0.4611885217184416,0.0386515502096743,0.0,0.0677086149887858,read_openmm(6)->write_openmm(6)->stage_out_openmm(24)->stage_in_aggregate(16)->read_training(1)->write_training(1)->stage_in_inference(13)->read_inference(1)->write_inference(1)->stage_out_inference(4),beegfs,ssd,beegfs,ssd,-,0.161227,0.161230,0.038652,0.053233,0.268205,0.268205,-,-,1.846054,4.047221,-,0.021195,0.230594,0.230594,0.067709
