repeat,alpha_idx,ccp_alpha,fold,n_val,n_leaves_val,pairs_val,sep_val,skipped,a_eff,mae_val
0,0,0.0,0,645,146.0,0,0.0,False,0.0,0.731167951952652
0,0,0.0,1,645,144.0,0,0.0,False,0.0,0.5484813237368908
0,0,0.0,2,645,145.0,0,0.0,False,0.0,0.6432220377778259
0,0,0.0,3,645,143.0,0,0.0,False,0.0,0.49388163693568143
0,0,0.0,4,645,144.0,0,0.0,False,0.0,0.7087195862766176
0,0,0.0,5,645,144.0,0,0.0,False,0.0,0.49950402995698334
0,0,0.0,6,645,148.0,0,0.0,False,0.0,0.6833041172869667
0,0,0.0,7,644,145.0,0,0.0,False,0.0,0.810491748394749
0,0,0.0,8,644,146.0,0,0.0,False,0.0,0.6934043855873078
0,0,0.0,9,644,144.0,0,0.0,False,0.0,0.662549615220917
0,0,0.0,CV-agg,6447,144.9,0,0.0,False,,0.6474378941550255
0,1,3.271106452522028e-05,0,645,143.0,0,0.0,False,3.271106452522028e-05,0.7311140374958836
0,1,3.271106452522028e-05,1,645,141.0,0,0.0,False,3.271106452522028e-05,0.5484585649370153
0,1,3.271106452522028e-05,2,645,143.0,0,0.0,False,3.271106452522028e-05,0.6432721850224961
0,1,3.271106452522028e-05,3,645,139.0,0,0.0,False,3.271106452522028e-05,0.4940579919291975
0,1,3.271106452522028e-05,4,645,140.0,0,0.0,False,3.271106452522028e-05,0.7087284178658412
0,1,3.271106452522028e-05,5,645,140.0,0,0.0,False,3.271106452522028e-05,0.4992544905737401
0,1,3.271106452522028e-05,6,645,140.0,0,0.0,False,3.271106452522028e-05,0.6836641013878897
0,1,3.271106452522028e-05,7,644,137.0,0,0.0,False,3.271106452522028e-05,0.8103581857789992
0,1,3.271106452522028e-05,8,644,140.0,0,0.0,False,3.271106452522028e-05,0.6934755245104224
0,1,3.271106452522028e-05,9,644,138.0,0,0.0,False,3.271106452522028e-05,0.6628661348484964
0,1,3.271106452522028e-05,CV-agg,6447,140.1,0,0.0,False,,0.6474901992105786
0,2,3.536160218762911e-05,0,645,142.0,0,0.0,False,3.536160218762911e-05,0.7311533699052514
0,2,3.536160218762911e-05,1,645,141.0,0,0.0,False,3.536160218762911e-05,0.5484585649370153
0,2,3.536160218762911e-05,2,645,143.0,0,0.0,False,3.536160218762911e-05,0.6432721850224961
0,2,3.536160218762911e-05,3,645,139.0,0,0.0,False,3.536160218762911e-05,0.4940579919291975
0,2,3.536160218762911e-05,4,645,139.0,0,0.0,False,3.536160218762911e-05,0.7089154161057563
0,2,3.536160218762911e-05,5,645,140.0,0,0.0,False,3.536160218762911e-05,0.4992544905737401
0,2,3.536160218762911e-05,6,645,140.0,0,0.0,False,3.536160218762911e-05,0.6836641013878897
0,2,3.536160218762911e-05,7,644,137.0,0,0.0,False,3.536160218762911e-05,0.8103581857789992
0,2,3.536160218762911e-05,8,644,139.0,0,0.0,False,3.536160218762911e-05,0.6937473087554716
0,2,3.536160218762911e-05,9,644,138.0,0,0.0,False,3.536160218762911e-05,0.6628661348484964
0,2,3.536160218762911e-05,CV-agg,6447,139.8,0,0.0,False,,0.6475399917222273
0,3,3.5720265352753595e-05,0,645,142.0,0,0.0,False,3.5720265352753595e-05,0.7311533699052514
0,3,3.5720265352753595e-05,1,645,141.0,0,0.0,False,3.5720265352753595e-05,0.5484585649370153
0,3,3.5720265352753595e-05,2,645,143.0,0,0.0,False,3.5720265352753595e-05,0.6432721850224961
0,3,3.5720265352753595e-05,3,645,138.0,0,0.0,False,3.5720265352753595e-05,0.4940649313011086
0,3,3.5720265352753595e-05,4,645,139.0,0,0.0,False,3.5720265352753595e-05,0.7089154161057563
0,3,3.5720265352753595e-05,5,645,140.0,0,0.0,False,3.5720265352753595e-05,0.4992544905737401
0,3,3.5720265352753595e-05,6,645,140.0,0,0.0,False,3.5720265352753595e-05,0.6836641013878897
0,3,3.5720265352753595e-05,7,644,137.0,0,0.0,False,3.5720265352753595e-05,0.8103581857789992
0,3,3.5720265352753595e-05,8,644,139.0,0,0.0,False,3.5720265352753595e-05,0.6937473087554716
0,3,3.5720265352753595e-05,9,644,138.0,0,0.0,False,3.5720265352753595e-05,0.6628661348484964
0,3,3.5720265352753595e-05,CV-agg,6447,139.7,0,0.0,False,,0.64754068598233
0,4,4.558161017441991e-05,0,645,140.0,0,0.0,False,4.558161017441991e-05,0.7311349267840622
0,4,4.558161017441991e-05,1,645,138.0,0,0.0,False,4.558161017441991e-05,0.5482704514982164
0,4,4.558161017441991e-05,2,645,140.0,0,0.0,False,4.558161017441991e-05,0.64317720480318
0,4,4.558161017441991e-05,3,645,137.0,0,0.0,False,4.558161017441991e-05,0.4941380475025155
0,4,4.558161017441991e-05,4,645,138.0,0,0.0,False,4.558161017441991e-05,0.7088119622173629
0,4,4.558161017441991e-05,5,645,139.0,0,0.0,False,4.558161017441991e-05,0.49920667581579636
0,4,4.558161017441991e-05,6,645,138.0,0,0.0,False,4.558161017441991e-05,0.6837090420879531
0,4,4.558161017441991e-05,7,644,134.0,0,0.0,False,4.558161017441991e-05,0.8100567796083741
0,4,4.558161017441991e-05,8,644,139.0,0,0.0,False,4.558161017441991e-05,0.6937135314059482
0,4,4.558161017441991e-05,9,644,135.0,0,0.0,False,4.558161017441991e-05,0.6629073426981312
0,4,4.558161017441991e-05,CV-agg,6447,137.8,0,0.0,False,,0.6474778299051002
0,5,4.918151185749755e-05,0,645,138.0,0,0.0,False,4.918151185749755e-05,0.7312349909926612
0,5,4.918151185749755e-05,1,645,138.0,0,0.0,False,4.918151185749755e-05,0.5482704514982164
0,5,4.918151185749755e-05,2,645,140.0,0,0.0,False,4.918151185749755e-05,0.64317720480318
0,5,4.918151185749755e-05,3,645,136.0,0,0.0,False,4.918151185749755e-05,0.4941380475025155
0,5,4.918151185749755e-05,4,645,138.0,0,0.0,False,4.918151185749755e-05,0.7088119622173629
0,5,4.918151185749755e-05,5,645,139.0,0,0.0,False,4.918151185749755e-05,0.49920667581579636
0,5,4.918151185749755e-05,6,645,137.0,0,0.0,False,4.918151185749755e-05,0.6836326384487638
0,5,4.918151185749755e-05,7,644,133.0,0,0.0,False,4.918151185749755e-05,0.8100358061961269
0,5,4.918151185749755e-05,8,644,138.0,0,0.0,False,4.918151185749755e-05,0.6936050002370431
0,5,4.918151185749755e-05,9,644,135.0,0,0.0,False,4.918151185749755e-05,0.6629073426981312
0,5,4.918151185749755e-05,CV-agg,6447,137.2,0,0.0,False,,0.6474672606662306
0,6,5.211964918594696e-05,0,645,138.0,0,0.0,False,5.211964918594696e-05,0.7312349909926612
0,6,5.211964918594696e-05,1,645,137.0,0,0.0,False,5.211964918594696e-05,0.548369276796968
0,6,5.211964918594696e-05,2,645,139.0,0,0.0,False,5.211964918594696e-05,0.6431888970770812
0,6,5.211964918594696e-05,3,645,136.0,0,0.0,False,5.211964918594696e-05,0.4941380475025155
0,6,5.211964918594696e-05,4,645,135.0,0,0.0,False,5.211964918594696e-05,0.70877305414038
0,6,5.211964918594696e-05,5,645,138.0,0,0.0,False,5.211964918594696e-05,0.49909229586745885
0,6,5.211964918594696e-05,6,645,137.0,0,0.0,False,5.211964918594696e-05,0.6836326384487638
0,6,5.211964918594696e-05,7,644,133.0,0,0.0,False,5.211964918594696e-05,0.8100358061961269
0,6,5.211964918594696e-05,8,644,138.0,0,0.0,False,5.211964918594696e-05,0.6936050002370431
0,6,5.211964918594696e-05,9,644,133.0,0,0.0,False,5.211964918594696e-05,0.6628570904799129
0,6,5.211964918594696e-05,CV-agg,6447,136.4,0,0.0,False,,0.6474579618651598
0,7,5.268486126159394e-05,0,645,138.0,0,0.0,False,5.268486126159394e-05,0.7312349909926612
0,7,5.268486126159394e-05,1,645,137.0,0,0.0,False,5.268486126159394e-05,0.548369276796968
0,7,5.268486126159394e-05,2,645,139.0,0,0.0,False,5.268486126159394e-05,0.6431888970770812
0,7,5.268486126159394e-05,3,645,136.0,0,0.0,False,5.268486126159394e-05,0.4941380475025155
0,7,5.268486126159394e-05,4,645,134.0,0,0.0,False,5.268486126159394e-05,0.708829534676178
0,7,5.268486126159394e-05,5,645,138.0,0,0.0,False,5.268486126159394e-05,0.49909229586745885
0,7,5.268486126159394e-05,6,645,137.0,0,0.0,False,5.268486126159394e-05,0.6836326384487638
0,7,5.268486126159394e-05,7,644,133.0,0,0.0,False,5.268486126159394e-05,0.8100358061961269
0,7,5.268486126159394e-05,8,644,138.0,0,0.0,False,5.268486126159394e-05,0.6936050002370431
0,7,5.268486126159394e-05,9,644,133.0,0,0.0,False,5.268486126159394e-05,0.6628570904799129
0,7,5.268486126159394e-05,CV-agg,6447,136.3,0,0.0,False,,0.6474636125469636
0,8,5.594902752180451e-05,0,645,137.0,0,0.0,False,5.594902752180451e-05,0.7310174501240572
0,8,5.594902752180451e-05,1,645,136.0,0,0.0,False,5.594902752180451e-05,0.5483749768586123
0,8,5.594902752180451e-05,2,645,139.0,0,0.0,False,5.594902752180451e-05,0.6431888970770812
0,8,5.594902752180451e-05,3,645,136.0,0,0.0,False,5.594902752180451e-05,0.4941380475025155
0,8,5.594902752180451e-05,4,645,132.0,0,0.0,False,5.594902752180451e-05,0.7087492762328884
0,8,5.594902752180451e-05,5,645,138.0,0,0.0,False,5.594902752180451e-05,0.49909229586745885
0,8,5.594902752180451e-05,6,645,137.0,0,0.0,False,5.594902752180451e-05,0.6836326384487638
0,8,5.594902752180451e-05,7,644,133.0,0,0.0,False,5.594902752180451e-05,0.8100358061961269
0,8,5.594902752180451e-05,8,644,137.0,0,0.0,False,5.594902752180451e-05,0.6937811403948017
0,8,5.594902752180451e-05,9,644,133.0,0,0.0,False,5.594902752180451e-05,0.6628570904799129
0,8,5.594902752180451e-05,CV-agg,6447,135.8,0,0.0,False,,0.6474519839204995
0,9,6.125410618774811e-05,0,645,135.0,0,0.0,False,6.125410618774811e-05,0.7312121720255618
