producer,producerStageOrder,consumer,consumerStageOrder,producerStorageType,producerTasksPerNode,consumerStorageType,consumerTasksPerNode,SPM,estT_prod,estT_cons
stage_in-openmm,0.5,openmm,1.0,tmpfs-beegfs,6,beegfs,6,0.21248179302480608,0.051254755095264816,0.16122703792954127
stage_in-openmm,0.5,openmm,1.0,tmpfs-beegfs,6,beegfs,12,0.2404110709841041,0.051254755095264816,0.1891563158888393
stage_in-openmm,0.5,openmm,1.0,ssd-beegfs,24,beegfs,3,0.24834769052278793,0.1305294704044552,0.11781822011833275
stage_in-openmm,0.5,openmm,1.0,ssd-beegfs,6,beegfs,3,0.2512999158382533,0.13348169571992055,0.11781822011833275
stage_in-openmm,0.5,openmm,1.0,ssd,1,ssd,3,0.25787645636532935,0.0,0.25787645636532935
stage_in-openmm,0.5,openmm,1.0,ssd,3,ssd,3,0.25787645636532935,0.0,0.25787645636532935
stage_in-openmm,0.5,openmm,1.0,ssd,6,ssd,3,0.25787645636532935,0.0,0.25787645636532935
stage_in-openmm,0.5,openmm,1.0,ssd,12,ssd,3,0.25787645636532935,0.0,0.25787645636532935
stage_in-openmm,0.5,openmm,1.0,ssd,13,ssd,3,0.25787645636532935,0.0,0.25787645636532935
stage_in-openmm,0.5,openmm,1.0,ssd,16,ssd,3,0.25787645636532935,0.0,0.25787645636532935
stage_in-openmm,0.5,openmm,1.0,ssd,24,ssd,3,0.25787645636532935,0.0,0.25787645636532935
stage_in-openmm,0.5,openmm,1.0,ssd,34,ssd,3,0.25787645636532935,0.0,0.25787645636532935
stage_in-openmm,0.5,openmm,1.0,ssd-beegfs,24,beegfs,6,0.29175650833399647,0.1305294704044552,0.16122703792954127
stage_in-openmm,0.5,openmm,1.0,ssd-beegfs,6,beegfs,6,0.2947087336494618,0.13348169571992055,0.16122703792954127
stage_in-openmm,0.5,openmm,1.0,beegfs-ssd,24,ssd,3,0.2965280065750038,0.038651550209674396,0.25787645636532935
stage_in-openmm,0.5,openmm,1.0,beegfs-ssd,12,ssd,3,0.29752661607924236,0.03965015971391303,0.25787645636532935
stage_in-openmm,0.5,openmm,1.0,beegfs-ssd,6,ssd,3,0.29907160056734944,0.04119514420202009,0.25787645636532935
stage_in-openmm,0.5,openmm,1.0,ssd-beegfs,12,beegfs,3,0.31207733302971286,0.19425911291138012,0.11781822011833275
stage_in-openmm,0.5,openmm,1.0,ssd-beegfs,24,beegfs,12,0.31968578629329447,0.1305294704044552,0.1891563158888393
