nodes,total,in_o1,in_o2,in_o3,exec_o1,exec_o2,exec_o3,out_o1,out_o2,out_o3,critical_path,individuals_stor,individuals_merge_stor,sifting_stor,frequency_stor,mutation_overlap_stor,in_individuals,read_individuals,write_individuals,out_individuals,in_individuals_merge,read_individuals_merge,write_individuals_merge,out_individuals_merge,in_sifting,read_sifting,write_sifting,out_sifting,in_frequency,read_frequency,write_frequency,out_frequency,in_mutation_overlap,read_mutation_overlap,write_mutation_overlap,out_mutation_overlap,lam_read_beegfs,lam_write_beegfs,lam_read_ssd,lam_write_ssd,lam_read_tmpfs,lam_write_tmpfs,lam_in_total,lam_out_total,exec_beegfs_share,exec_local_share,movement_share,region_provisional,region,leaf_region
5,107.46017039584936,28.103607641140066,0.0,0.0877382858514435,17.648881072227834,11.69767003597797,0.3389057665931555,25.330669434225655,23.69241335835795,0.5602848014752922,stage_in_individuals(4)->read_individuals(60)->write_individuals(60)->stage_out_individuals(12)->read_sifting(2)->write_sifting(2)->stage_out_sifting(3)->stage_in_frequency(16)->read_frequency(2)->write_frequency(2)->stage_out_frequency(8),tmpfs,beegfs,beegfs,ssd,ssd,28.103608,17.648091,0.00079,25.330669,0.0,0.377584,0.005744,0.009088,0.0,11.694843,0.002827,23.692413,0.087738,0.213704,0.125202,0.560285,0.056307,0.15854,0.08337,0.546232,11.694843,0.002827,0.213704,0.125202,17.648091,0.00079,28.191346000000003,49.583367,0.10885586684731065,0.16739027058805606,0.7237538588809397,23,0,0
5,107.9469139940136,28.103607641140066,0.0,0.0877382858514435,17.648881072227834,11.69767003597797,0.825649364757383,25.330669434225655,23.69241335835795,0.5602848014752922,stage_in_individuals(4)->read_individuals(60)->write_individuals(60)->stage_out_individuals(12)->read_sifting(2)->write_sifting(2)->stage_out_sifting(3)->stage_in_frequency(16)->read_mutation_overlap(2)->write_mutation_overlap(2)->stage_out_frequency(8),tmpfs,beegfs,beegfs,ssd,beegfs,28.103608,17.648091,0.00079,25.330669,0.0,0.377584,0.005744,0.009088,0.0,11.694843,0.002827,23.692413,0.087738,0.213704,0.125202,0.560285,0.0,0.731962,0.093687,0.0,12.426805,0.096514,0.0,0.0,17.648091,0.00079,28.191346000000003,49.583367,0.11601368243555707,0.16349592912844724,0.7204903792276307,23,0,0
5,108.17011650869652,28.103607641140066,0.0,0.0563074925683821,17.648881072227834,11.69767003597797,1.0943353171710826,25.330669434225655,23.69241335835795,0.5462321570275642,stage_in_individuals(4)->read_individuals(60)->write_individuals(60)->stage_out_individuals(12)->read_sifting(2)->write_sifting(2)->stage_out_sifting(3)->stage_in_mutation_overlap(3)->read_frequency(2)->write_frequency(2)->stage_out_mutation_overlap(12),tmpfs,beegfs,beegfs,beegfs,ssd,28.103608,17.648091,0.00079,25.330669,0.0,0.377584,0.005744,0.009088,0.0,11.694843,0.002827,23.692413,0.0,0.820092,0.274244,0.0,0.056307,0.15854,0.08337,0.546232,12.514935000000001,0.277071,0.0,0.0,17.648091,0.00079,28.159915,49.569314000000006,0.11825822521852833,0.16315856513458526,0.7185832049441319,23,0,0
2,108.18254971398878,28.103607641140066,0.0,0.0,39.61490739093403,13.671095796837731,1.462269450851291,25.330669434225655,0.0,0.0,stage_in_individuals(4)->read_individuals(150)->write_individuals(150)->stage_out_individuals(12)->read_sifting(5)->write_sifting(5)->read_frequency(5)->write_frequency(5),tmpfs,beegfs,beegfs,beegfs,beegfs,28.103608,39.613014,0.001893,25.330669,0.0,0.48037,0.008748,0.0,0.0,13.666797,0.004299,0.0,0.0,1.052539,0.409731,0.0,0.0,0.915467,0.14291,0.0,14.719336,0.41403,0.0,0.0,39.613014,0.001893,28.103608,25.330669,0.13988731121617307,0.3661857397956775,0.4939269516319236,16,1,1
5,112.71858288799436,28.103607641140066,0.0,0.0881974768977294,17.648881072227834,11.69767003597797,0.3068017261056392,25.330669434225655,29.391062115692428,0.1516933857270378,stage_in_individuals(4)->read_individuals(60)->write_individuals(60)->stage_out_individuals(12)->read_sifting(2)->write_sifting(2)->stage_out_sifting(6)->stage_in_frequency(5)->read_frequency(2)->write_frequency(2)->stage_out_frequency(8),tmpfs,beegfs,beegfs,tmpfs,tmpfs,28.103608,17.648091,0.00079,25.330669,0.0,0.377584,0.005744,0.00948,0.0,11.694843,0.002827,29.391062,0.088197,0.215496,0.091305,0.151693,0.055689,0.163955,0.027468,0.151693,11.694843,0.002827,0.0,0.0,17.863587000000003,0.092095,28.191805000000002,54.87342400000001,0.10377765316321959,0.15929655554525518,0.7369257745418883,23,0,0
5,113.11312165929488,28.103607641140066,0.0,0.0881974768977294,17.648881072227834,11.69767003597797,0.3068017261056392,25.330669434225655,29.391062115692428,0.5462321570275642,stage_in_individuals(4)->read_individuals(60)->write_individuals(60)->stage_out_individuals(12)->read_sifting(2)->write_sifting(2)->stage_out_sifting(6)->stage_in_frequency(5)->read_frequency(2)->write_frequency(2)->stage_out_mutation_overlap(12),tmpfs,beegfs,beegfs,tmpfs,ssd,28.103608,17.648091,0.00079,25.330669,0.0,0.377584,0.005744,0.00948,0.0,11.694843,0.002827,29.391062,0.088197,0.215496,0.091305,0.151693,0.056307,0.15854,0.08337,0.546232,11.694843,0.002827,0.0,0.0,17.863587000000003,0.092095,28.191805000000002,55.26796300000001,0.10341567652278352,0.15874092887369595,0.7378433799341715,23,0,0
5,113.15881915318384,28.103607641140066,0.0,0.0877382858514435,17.648881072227834,11.69767003597797,0.3389057665931555,25.330669434225655,29.391062115692428,0.5602848014752922,stage_in_individuals(4)->read_individuals(60)->write_individuals(60)->stage_out_individuals(12)->read_sifting(2)->write_sifting(2)->stage_out_sifting(6)->stage_in_frequency(16)->read_frequency(2)->write_frequency(2)->stage_out_frequency(8),tmpfs,beegfs,beegfs,ssd,tmpfs,28.103608,17.648091,0.00079,25.330669,0.0,0.377584,0.005744,0.00948,0.0,11.694843,0.002827,29.391062,0.087738,0.213704,0.125202,0.560285,0.055689,0.163955,0.027468,0.151693,11.694843,0.002827,0.213704,0.125202,17.648091,0.00079,28.191346000000003,55.282016000000006,0.10337391365108436,0.15896054001455828,0.7376655449806421,23,0,0
5,113.23743052664612,28.103607641140066,0.0,0.0881974768977294,17.648881072227834,11.69767003597797,0.825649364757383,25.330669434225655,29.391062115692428,0.1516933857270378,stage_in_individuals(4)->read_individuals(60)->write_individuals(60)->stage_out_individuals(12)->read_sifting(2)->write_sifting(2)->stage_out_sifting(6)->stage_in_frequency(5)->read_mutation_overlap(2)->write_mutation_overlap(2)->stage_out_frequency(8),tmpfs,beegfs,beegfs,tmpfs,beegfs,28.103608,17.648091,0.00079,25.330669,0.0,0.377584,0.005744,0.00948,0.0,11.694843,0.002827,29.391062,0.088197,0.215496,0.091305,0.151693,0.0,0.731962,0.093687,0.0,12.426805,0.096514,0.0,0.0,17.648091,0.00079,28.191805000000002,54.87342400000001,0.11059345785007903,0.15585730723417335,0.7335492214339236,23,0,0
5,113.4736078341531,28.103607641140066,0.0,0.0556888319910282,17.648881072227834,11.69767003597797,1.0943353171710826,25.330669434225655,29.391062115692428,0.1516933857270377,stage_in_individuals(4)->read_individuals(60)->write_individuals(60)->stage_out_individuals(12)->read_sifting(2)->write_sifting(2)->stage_out_sifting(6)->stage_in_mutation_overlap(5)->read_frequency(2)->write_frequency(2)->stage_out_mutation_overlap(8),tmpfs,beegfs,beegfs,beegfs,tmpfs,28.103608,17.648091,0.00079,25.330669,0.0,0.377584,0.005744,0.00948,0.0,11.694843,0.002827,29.391062,0.0,0.820092,0.274244,0.0,0.055689,0.163955,0.027468,0.151693,12.514935000000001,0.277071,0.0,0.0,17.648091,0.00079,28.159297000000002,54.87342400000001,0.11273111205467261,0.15553291498226174,0.731735974424603,23,0,0
10,125.75231285352658,28.103607641140066,29.391062115692428,0.0,15.220154816477011,1.456958940773997,0.6285088655153603,25.330669434225655,25.621351039702056,0.0,stage_in_individuals(4)->read_individuals(30)->write_individuals(30)->stage_out_individuals(12)->stage_in_sifting(6)->read_sifting(1)->write_sifting(1)->stage_out_sifting(6)->read_frequency(1)->write_frequency(1),tmpfs,beegfs,tmpfs,beegfs,beegfs,28.103608,15.21961,0.000545,25.330669,0.0,0.20992,0.003812,0.0,29.391062,1.456127,0.000832,25.621351,0.0,0.473642,0.154867,0.0,0.0,0.475353,0.056626,0.0,0.473642,0.154867,0.0,0.0,16.675736999999998,0.001377,57.49467,50.952020000000005,0.004997991573578992,0.13261874570390597,0.8623832638872844,10,5,5
