region,region_size,prevalent_critical_path,critical_path,count,fraction,config_nodes,individuals,individuals_merge,sifting,frequency,mutation_overlap
1,9,stage_in_individuals(4)->read_individuals(150)->write_individuals(150)->stage_out_individuals(12)->read_sifting(5)->write_sifting(5)->read_frequency(5)->write_frequency(5),stage_in_individuals(4)->read_individuals(150)->write_individuals(150)->stage_out_individuals(12)->read_sifting(5)->write_sifting(5)->stage_out_sifting(6)->stage_in_frequency(5)->read_mutation_overlap(5)->write_mutation_overlap(5)->stage_out_mutation_overlap(12),1,0.1111111111111111,2,tmpfs,beegfs,beegfs,tmpfs,ssd
1,9,stage_in_individuals(4)->read_individuals(150)->write_individuals(150)->stage_out_individuals(12)->read_sifting(5)->write_sifting(5)->read_frequency(5)->write_frequency(5),stage_in_individuals(4)->read_individuals(150)->write_individuals(150)->stage_out_individuals(12)->read_sifting(5)->write_sifting(5)->stage_out_sifting(6)->stage_in_frequency(16)->read_frequency(5)->write_frequency(5)->stage_out_frequency(8),1,0.1111111111111111,2,tmpfs,beegfs,beegfs,ssd,tmpfs
1,9,stage_in_individuals(4)->read_individuals(150)->write_individuals(150)->stage_out_individuals(12)->read_sifting(5)->write_sifting(5)->read_frequency(5)->write_frequency(5),stage_in_individuals(4)->read_individuals(150)->write_individuals(150)->stage_out_individuals(12)->read_sifting(5)->write_sifting(5)->stage_out_sifting(6)->stage_in_frequency(5)->read_mutation_overlap(5)->write_mutation_overlap(5)->stage_out_frequency(8),1,0.1111111111111111,2,tmpfs,beegfs,beegfs,tmpfs,beegfs
1,9,stage_in_individuals(4)->read_individuals(150)->write_individuals(150)->stage_out_individuals(12)->read_sifting(5)->write_sifting(5)->read_frequency(5)->write_frequency(5),stage_in_individuals(4)->read_individuals(150)->write_individuals(150)->stage_out_individuals(12)->read_sifting(5)->write_sifting(5)->stage_out_sifting(6)->stage_in_mutation_overlap(5)->read_frequency(5)->write_frequency(5)->stage_out_mutation_overlap(8),1,0.1111111111111111,2,tmpfs,beegfs,beegfs,beegfs,tmpfs
2,18,read_individuals(30)->write_individuals(30)->read_sifting(1)->write_sifting(1)->read_frequency(1)->write_frequency(1),read_individuals(30)->write_individuals(30)->read_sifting(1)->write_sifting(1)->read_frequency(1)->write_frequency(1),1,0.05555555555555555,10,beegfs,beegfs,beegfs,beegfs,beegfs
2,18,read_individuals(30)->write_individuals(30)->read_sifting(1)->write_sifting(1)->read_frequency(1)->write_frequency(1),read_individuals(30)->write_individuals(30)->read_sifting(1)->write_sifting(1)->stage_out_sifting(3)->stage_in_frequency(16)->read_frequency(1)->write_frequency(1)->stage_out_frequency(8),1,0.05555555555555555,10,beegfs,beegfs,beegfs,ssd,ssd
2,18,read_individuals(30)->write_individuals(30)->read_sifting(1)->write_sifting(1)->read_frequency(1)->write_frequency(1),stage_in_individuals(4)->read_individuals(30)->write_individuals(30)->stage_out_individuals(30)->read_sifting(1)->write_sifting(1)->stage_out_sifting(6)->stage_in_frequency(16)->read_frequency(1)->write_frequency(1)->stage_out_frequency(8),1,0.05555555555555555,10,ssd,beegfs,beegfs,ssd,tmpfs
2,18,read_individuals(30)->write_individuals(30)->read_sifting(1)->write_sifting(1)->read_frequency(1)->write_frequency(1),stage_in_individuals(4)->read_individuals(30)->write_individuals(30)->stage_out_individuals(30)->read_sifting(1)->write_sifting(1)->stage_out_sifting(6)->stage_in_mutation_overlap(5)->read_frequency(1)->write_frequency(1)->stage_out_mutation_overlap(8),1,0.05555555555555555,10,ssd,beegfs,beegfs,beegfs,tmpfs
2,18,read_individuals(30)->write_individuals(30)->read_sifting(1)->write_sifting(1)->read_frequency(1)->write_frequency(1),stage_in_individuals(4)->read_individuals(30)->write_individuals(30)->stage_out_individuals(30)->read_sifting(1)->write_sifting(1)->stage_out_sifting(6)->stage_in_frequency(5)->read_mutation_overlap(1)->write_mutation_overlap(1)->stage_out_frequency(8),1,0.05555555555555555,10,ssd,beegfs,beegfs,tmpfs,beegfs
2,18,read_individuals(30)->write_individuals(30)->read_sifting(1)->write_sifting(1)->read_frequency(1)->write_frequency(1),stage_in_individuals(4)->read_individuals(30)->write_individuals(30)->stage_out_individuals(30)->read_sifting(1)->write_sifting(1)->stage_out_sifting(6)->stage_in_frequency(5)->read_frequency(1)->write_frequency(1)->stage_out_frequency(8),1,0.05555555555555555,10,ssd,beegfs,beegfs,tmpfs,tmpfs
2,18,read_individuals(30)->write_individuals(30)->read_sifting(1)->write_sifting(1)->read_frequency(1)->write_frequency(1),stage_in_individuals(4)->read_individuals(30)->write_individuals(30)->stage_out_individuals(30)->read_sifting(1)->write_sifting(1)->stage_out_sifting(3)->stage_in_mutation_overlap(3)->read_frequency(1)->write_frequency(1)->stage_out_mutation_overlap(12),1,0.05555555555555555,10,ssd,beegfs,beegfs,beegfs,ssd
2,18,read_individuals(30)->write_individuals(30)->read_sifting(1)->write_sifting(1)->read_frequency(1)->write_frequency(1),stage_in_individuals(4)->read_individuals(30)->write_individuals(30)->stage_out_individuals(30)->read_sifting(1)->write_sifting(1)->stage_out_sifting(3)->stage_in_frequency(16)->read_mutation_overlap(1)->write_mutation_overlap(1)->stage_out_frequency(8),1,0.05555555555555555,10,ssd,beegfs,beegfs,ssd,beegfs
2,18,read_individuals(30)->write_individuals(30)->read_sifting(1)->write_sifting(1)->read_frequency(1)->write_frequency(1),stage_in_individuals(4)->read_individuals(30)->write_individuals(30)->stage_out_individuals(30)->read_sifting(1)->write_sifting(1)->stage_out_sifting(3)->stage_in_frequency(16)->read_frequency(1)->write_frequency(1)->stage_out_frequency(8),1,0.05555555555555555,10,ssd,beegfs,beegfs,ssd,ssd
2,18,read_individuals(30)->write_individuals(30)->read_sifting(1)->write_sifting(1)->read_frequency(1)->write_frequency(1),read_individuals(30)->write_individuals(30)->read_sifting(1)->write_sifting(1)->stage_out_sifting(6)->stage_in_frequency(5)->read_frequency(1)->write_frequency(1)->stage_out_mutation_overlap(12),1,0.05555555555555555,10,beegfs,beegfs,beegfs,tmpfs,ssd
2,18,read_individuals(30)->write_individuals(30)->read_sifting(1)->write_sifting(1)->read_frequency(1)->write_frequency(1),read_individuals(30)->write_individuals(30)->read_sifting(1)->write_sifting(1)->stage_out_sifting(6)->stage_in_frequency(16)->read_frequency(1)->write_frequency(1)->stage_out_frequency(8),1,0.05555555555555555,10,beegfs,beegfs,beegfs,ssd,tmpfs
2,18,read_individuals(30)->write_individuals(30)->read_sifting(1)->write_sifting(1)->read_frequency(1)->write_frequency(1),read_individuals(30)->write_individuals(30)->read_sifting(1)->write_sifting(1)->stage_out_sifting(6)->stage_in_mutation_overlap(5)->read_frequency(1)->write_frequency(1)->stage_out_mutation_overlap(8),1,0.05555555555555555,10,beegfs,beegfs,beegfs,beegfs,tmpfs
2,18,read_individuals(30)->write_individuals(30)->read_sifting(1)->write_sifting(1)->read_frequency(1)->write_frequency(1),read_individuals(30)->write_individuals(30)->read_sifting(1)->write_sifting(1)->stage_out_sifting(6)->stage_in_frequency(5)->read_mutation_overlap(1)->write_mutation_overlap(1)->stage_out_frequency(8),1,0.05555555555555555,10,beegfs,beegfs,beegfs,tmpfs,beegfs
2,18,read_individuals(30)->write_individuals(30)->read_sifting(1)->write_sifting(1)->read_frequency(1)->write_frequency(1),read_individuals(30)->write_individuals(30)->read_sifting(1)->write_sifting(1)->stage_out_sifting(6)->stage_in_frequency(5)->read_frequency(1)->write_frequency(1)->stage_out_frequency(8),1,0.05555555555555555,10,beegfs,beegfs,beegfs,tmpfs,tmpfs
2,18,read_individuals(30)->write_individuals(30)->read_sifting(1)->write_sifting(1)->read_frequency(1)->write_frequency(1),stage_in_individuals(4)->read_individuals(30)->write_individuals(30)->stage_out_individuals(30)->read_sifting(1)->write_sifting(1)->read_frequency(1)->write_frequency(1),1,0.05555555555555555,10,ssd,beegfs,beegfs,beegfs,beegfs
2,18,read_individuals(30)->write_individuals(30)->read_sifting(1)->write_sifting(1)->read_frequency(1)->write_frequency(1),read_individuals(30)->write_individuals(30)->read_sifting(1)->write_sifting(1)->stage_out_sifting(3)->stage_in_mutation_overlap(3)->read_frequency(1)->write_frequency(1)->stage_out_mutation_overlap(12),1,0.05555555555555555,10,beegfs,beegfs,beegfs,beegfs,ssd
2,18,read_individuals(30)->write_individuals(30)->read_sifting(1)->write_sifting(1)->read_frequency(1)->write_frequency(1),read_individuals(30)->write_individuals(30)->read_sifting(1)->write_sifting(1)->stage_out_sifting(3)->stage_in_frequency(16)->read_mutation_overlap(1)->write_mutation_overlap(1)->stage_out_frequency(8),1,0.05555555555555555,10,beegfs,beegfs,beegfs,ssd,beegfs
2,18,read_individuals(30)->write_individuals(30)->read_sifting(1)->write_sifting(1)->read_frequency(1)->write_frequency(1),stage_in_individuals(4)->read_individuals(30)->write_individuals(30)->stage_out_individuals(30)->read_sifting(1)->write_sifting(1)->stage_out_sifting(6)->stage_in_frequency(5)->read_frequency(1)->write_frequency(1)->stage_out_mutation_overlap(12),1,0.05555555555555555,10,ssd,beegfs,beegfs,tmpfs,ssd
3,8,read_individuals(30)->write_individuals(30)->stage_out_individuals(4)->stage_in_individuals_merge(30)->read_sifting(1)->write_sifting(1)->stage_out_individuals_merge(12)->read_frequency(1)->write_frequency(1),read_individuals(30)->write_individuals(30)->stage_out_individuals(4)->stage_in_individuals_merge(30)->read_sifting(1)->write_sifting(1)->stage_out_individuals_merge(12)->read_frequency(1)->write_frequency(1),1,0.125,10,beegfs,ssd,beegfs,beegfs,beegfs
3,8,read_individuals(30)->write_individuals(30)->stage_out_individuals(4)->stage_in_individuals_merge(30)->read_sifting(1)->write_sifting(1)->stage_out_individuals_merge(12)->read_frequency(1)->write_frequency(1),read_individuals(30)->write_individuals(30)->stage_out_individuals(12)->stage_in_individuals_merge(12)->read_sifting(1)->write_sifting(1)->stage_out_individuals_merge(12)->read_frequency(1)->write_frequency(1),1,0.125,10,beegfs,tmpfs,beegfs,beegfs,beegfs
3,8,read_individuals(30)->write_individuals(30)->stage_out_individuals(4)->stage_in_individuals_merge(30)->read_sifting(1)->write_sifting(1)->stage_out_individuals_merge(12)->read_frequency(1)->write_frequency(1),read_individuals(30)->write_individuals(30)->stage_out_individuals(4)->stage_in_individuals_merge(30)->read_sifting(1)->write_sifting(1)->stage_out_sifting(3)->stage_in_frequency(16)->read_frequency(1)->write_frequency(1)->stage_out_frequency(8),1,0.125,10,beegfs,ssd,beegfs,ssd,ssd
