repeat,alpha_idx,ccp_alpha,fold,n_val,n_leaves_val,pairs_val,sep_val,skipped,a_eff,mae_val
0,0,0.0,0,37,16.0,2,0.30032936699784635,False,0.0,0.4296751634158763
0,0,0.0,1,37,16.0,3,3.6547802463136816,False,0.0,0.3221321237435694
0,0,0.0,2,37,16.0,1,0.0,False,0.0,0.34104271816455695
0,0,0.0,CV-agg,111,16.0,6,0.30032936699784635,False,,0.3642833351080009
0,1,9.34664955594077e-05,0,37,15.0,3,2.495444196463851,False,9.34664955594077e-05,0.41600447477132263
0,1,9.34664955594077e-05,1,37,16.0,3,3.6547802463136816,False,9.34664955594077e-05,0.3221321237435694
0,1,9.34664955594077e-05,2,37,16.0,1,0.0,False,9.34664955594077e-05,0.34104271816455695
0,1,9.34664955594077e-05,CV-agg,111,15.666666666666666,7,2.495444196463851,False,,0.35972643889314965
0,2,0.0005029802856482057,0,37,15.0,3,2.495444196463851,False,0.0005029802856482057,0.41600447477132263
0,2,0.0005029802856482057,1,37,15.0,2,4.991294056179396,False,0.0005029802856482057,0.3224008185278066
0,2,0.0005029802856482057,2,37,16.0,1,0.0,False,0.0005029802856482057,0.34131141294879414
0,2,0.0005029802856482057,CV-agg,111,15.333333333333334,6,2.495444196463851,False,,0.3599055687493078
0,3,0.0005032354677669488,0,37,15.0,3,2.495444196463851,False,0.0005032354677669488,0.41600447477132263
0,3,0.0005032354677669488,1,37,15.0,2,4.991294056179396,False,0.0005032354677669488,0.3224008185278066
0,3,0.0005032354677669488,2,37,16.0,1,0.0,False,0.0005032354677669488,0.34131141294879414
0,3,0.0005032354677669488,CV-agg,111,15.333333333333334,6,2.495444196463851,False,,0.3599055687493078
0,4,0.0005266020916568084,0,37,15.0,3,2.495444196463851,False,0.0005266020916568084,0.41600447477132263
0,4,0.0005266020916568084,1,37,15.0,2,4.991294056179396,False,0.0005266020916568084,0.3224008185278066
0,4,0.0005266020916568084,2,37,16.0,1,0.0,False,0.0005266020916568084,0.34131141294879414
0,4,0.0005266020916568084,CV-agg,111,15.333333333333334,6,2.495444196463851,False,,0.3599055687493078
0,5,0.0005928003958460045,0,37,15.0,3,2.495444196463851,False,0.0005928003958460045,0.41600447477132263
0,5,0.0005928003958460045,1,37,15.0,2,4.991294056179396,False,0.0005928003958460045,0.3224008185278066
0,5,0.0005928003958460045,2,37,16.0,1,0.0,False,0.0005928003958460045,0.34131141294879414
0,5,0.0005928003958460045,CV-agg,111,15.333333333333334,6,2.495444196463851,False,,0.3599055687493078
0,6,0.0006823653239250629,0,37,15.0,3,2.495444196463851,False,0.0006823653239250629,0.41600447477132263
0,6,0.0006823653239250629,1,37,15.0,2,4.991294056179396,False,0.0006823653239250629,0.3224008185278066
0,6,0.0006823653239250629,2,37,16.0,1,0.0,False,0.0006823653239250629,0.34131141294879414
0,6,0.0006823653239250629,CV-agg,111,15.333333333333334,6,2.495444196463851,False,,0.3599055687493078
0,7,0.0009591606313463304,0,37,14.0,3,2.495444196463851,False,0.0009591606313463304,0.4172786203048684
0,7,0.0009591606313463304,1,37,14.0,2,4.991294056179396,False,0.0009591606313463304,0.31974021741725456
0,7,0.0009591606313463304,2,37,14.0,1,0.0,False,0.0009591606313463304,0.34241145927816247
0,7,0.0009591606313463304,CV-agg,111,14.0,6,2.495444196463851,False,,0.3598100990000951
0,8,0.001565670488684166,0,37,13.0,3,2.495444196463851,False,0.001565670488684166,0.4206036938528948
0,8,0.001565670488684166,1,37,14.0,2,4.991294056179396,False,0.001565670488684166,0.31974021741725456
0,8,0.001565670488684166,2,37,14.0,1,0.0,False,0.001565670488684166,0.34241145927816247
0,8,0.001565670488684166,CV-agg,111,13.666666666666666,6,2.495444196463851,False,,0.3609184568494373
0,9,0.0027588823613535827,0,37,12.0,4,3.3434847829822805,False,0.0027588823613535827,0.41535091940792307
0,9,0.0027588823613535827,1,37,14.0,2,4.991294056179396,False,0.0027588823613535827,0.31974021741725456
0,9,0.0027588823613535827,2,37,14.0,1,0.0,False,0.0027588823613535827,0.34138237840507546
0,9,0.0027588823613535827,CV-agg,111,13.333333333333334,7,3.3434847829822805,False,,0.35882450507675107
0,10,0.0027703730056970813,0,37,12.0,4,3.3434847829822805,False,0.0027703730056970813,0.41535091940792307
0,10,0.0027703730056970813,1,37,14.0,2,4.991294056179396,False,0.0027703730056970813,0.31974021741725456
0,10,0.0027703730056970813,2,37,14.0,1,0.0,False,0.0027703730056970813,0.34138237840507546
0,10,0.0027703730056970813,CV-agg,111,13.333333333333334,7,3.3434847829822805,False,,0.35882450507675107
0,11,0.003035166222453896,0,37,12.0,4,3.3434847829822805,False,0.003035166222453896,0.41535091940792307
0,11,0.003035166222453896,1,37,14.0,2,4.991294056179396,False,0.003035166222453896,0.3175461404571509
0,11,0.003035166222453896,2,37,14.0,1,0.0,False,0.003035166222453896,0.34138237840507546
0,11,0.003035166222453896,CV-agg,111,13.333333333333334,7,3.3434847829822805,False,,0.35809314609004983
0,12,0.0032308081600254668,0,37,12.0,4,3.3434847829822805,False,0.0032308081600254668,0.41535091940792307
0,12,0.0032308081600254668,1,37,14.0,2,4.991294056179396,False,0.0032308081600254668,0.3175461404571509
0,12,0.0032308081600254668,2,37,14.0,1,0.0,False,0.0032308081600254668,0.34138237840507546
0,12,0.0032308081600254668,CV-agg,111,13.333333333333334,7,3.3434847829822805,False,,0.35809314609004983
0,13,0.008307239653768188,0,37,10.0,3,3.5527307789752416,False,0.008307239653768188,0.3744612644525849
