operation,randomOffset,transferSize,aggregateFilesizeMB,numTasks,parallelism,totalTime,numNodesList,numNodes,tasksPerNode,trMiB,storageType,opCount,taskName,taskPID,fileName,stageOrder,prevTask
read,1,5351.49059843377,243.73673248291016,96,96,3.8233644,[8],8,12,63.749281256819295,pfs,47758,run_idfeature,3677-dc155,cloudid_20160802_041500.nc,1,initial_data
write,1,5532.668645439828,156.4336395263672,96,96,0.545123574,[8],8,12,286.96913321596173,pfs,29648,run_idfeature,3677-dc155,cloudid_20160802_061500.nc,1,
read,1,5351.49059843377,243.73673248291016,96,96,3.8233644,[8],8,12,63.749281256819295,pfs,47758,run_idfeature,3677-dc155,cloudid_20160802_191500.nc,1,initial_data
write,1,5532.668645439828,156.4336395263672,96,96,0.545123574,[8],8,12,286.96913321596173,pfs,29648,run_idfeature,3677-dc155,cloudid_20160803_001500.nc,1,
read,1,5351.49059843377,243.73673248291016,96,96,3.8233644,[8],8,12,63.749281256819295,pfs,47758,run_idfeature,3677-dc155,cloudid_20160803_021500.nc,1,initial_data
read,1,5351.49059843377,243.73673248291016,96,96,3.8233644,[8],8,12,63.749281256819295,pfs,47758,run_idfeature,3677-dc155,cloudid_20160803_031500.nc,1,initial_data
read,1,5351.49059843377,243.73673248291016,96,96,3.8233644,[8],8,12,63.749281256819295,pfs,47758,run_idfeature,3677-dc155,cloudid_20160803_211500.nc,1,initial_data
read,1,5351.49059843377,243.73673248291016,96,96,3.8233644,[8],8,12,63.749281256819295,pfs,47758,run_idfeature,3677-dc155,cloudid_20160804_131500.nc,1,initial_data
read,1,5351.49059843377,243.73673248291016,96,96,3.8233644,[8],8,12,63.749281256819295,pfs,47758,run_idfeature,3677-dc155,cloudid_20160804_141500.nc,1,initial_data
read,1,5351.49059843377,243.73673248291016,96,96,3.8233644,[8],8,12,63.749281256819295,pfs,47758,run_idfeature,3677-dc155,cloudid_20160804_151500.nc,1,initial_data
read,1,5351.49059843377,243.73673248291016,96,96,3.8233644,[8],8,12,63.749281256819295,pfs,47758,run_idfeature,3677-dc155,IMERG_landmask_180W-180E_60S-60N.nc,1,initial_data
read,1,5351.49059843377,243.73673248291016,96,96,3.8233644,[8],8,12,63.749281256819295,pfs,47758,run_idfeature,3677-dc155,mcstrack_20160801_141500.nc,1,initial_data
read,1,5351.49059843377,243.73673248291016,96,96,3.8233644,[8],8,12,63.749281256819295,pfs,47758,run_idfeature,3677-dc155,mcstrack_20160801_151500.nc,1,initial_data
read,1,5351.49059843377,243.73673248291016,96,96,3.8233644,[8],8,12,63.749281256819295,pfs,47758,run_idfeature,3677-dc155,mcstrack_20160801_221500.nc,1,initial_data
read,1,5351.49059843377,243.73673248291016,96,96,3.8233644,[8],8,12,63.749281256819295,pfs,47758,run_idfeature,3677-dc155,mcstrack_20160801_231500.nc,1,initial_data
write,1,5532.668645439828,156.4336395263672,96,96,0.545123574,[8],8,12,286.96913321596173,pfs,29648,run_idfeature,3677-dc155,mcstrack_20160803_021500.nc,1,final_data
write,1,5532.668645439828,156.4336395263672,96,96,0.545123574,[8],8,12,286.96913321596173,pfs,29648,run_idfeature,3677-dc155,mcstrack_20160803_031500.nc,1,final_data
read,1,5351.49059843377,243.73673248291016,96,96,3.8233644,[8],8,12,63.749281256819295,pfs,47758,run_idfeature,3677-dc155,pr_rlut_mean_sam_2016080206.nc,1,initial_data
read,1,5351.49059843377,243.73673248291016,96,96,3.8233644,[8],8,12,63.749281256819295,pfs,47758,run_idfeature,3677-dc155,pr_rlut_mean_sam_2016080300.nc,1,initial_data
read,1,5351.49059843377,243.73673248291016,96,96,3.8233644,[8],8,12,63.749281256819295,pfs,47758,run_idfeature,3677-dc155,tracknumbers_20160801.0000_20160804.2300.nc,1,initial_data
write,1,5532.668645439828,156.4336395263672,96,96,0.545123574,[8],8,12,286.96913321596173,pfs,29648,run_idfeature,3677-dc155,track_20160801_231500.nc,1,
write,1,5532.668645439828,156.4336395263672,96,96,0.545123574,[8],8,12,286.96913321596173,pfs,29648,run_idfeature,3677-dc155,track_20160802_041500.nc,1,
read,1,5132.601040624375,244.5946445465088,96,96,3.887214203,[8],8,12,62.922862433909664,pfs,49970,run_idfeature,3678-dc155,cloudid_20160801_041500.nc,1,initial_data
read,1,5132.601040624375,244.5946445465088,96,96,3.887214203,[8],8,12,62.922862433909664,pfs,49970,run_idfeature,3678-dc155,cloudid_20160801_051500.nc,1,initial_data
read,1,5132.601040624375,244.5946445465088,96,96,3.887214203,[8],8,12,62.922862433909664,pfs,49970,run_idfeature,3678-dc155,cloudid_20160801_061500.nc,1,initial_data
write,1,5474.098252833243,154.77758884429932,96,96,0.478965589,[8],8,12,323.1497051123213,pfs,29648,run_idfeature,3678-dc155,cloudid_20160801_061500.nc,1,
read,1,5132.601040624375,244.5946445465088,96,96,3.887214203,[8],8,12,62.922862433909664,pfs,49970,run_idfeature,3678-dc155,cloudid_20160801_071500.nc,1,initial_data
read,1,5132.601040624375,244.5946445465088,96,96,3.887214203,[8],8,12,62.922862433909664,pfs,49970,run_idfeature,3678-dc155,cloudid_20160801_151500.nc,1,initial_data
read,1,5132.601040624375,244.5946445465088,96,96,3.887214203,[8],8,12,62.922862433909664,pfs,49970,run_idfeature,3678-dc155,cloudid_20160802_001500.nc,1,initial_data
read,1,5132.601040624375,244.5946445465088,96,96,3.887214203,[8],8,12,62.922862433909664,pfs,49970,run_idfeature,3678-dc155,cloudid_20160802_051500.nc,1,initial_data
read,1,5132.601040624375,244.5946445465088,96,96,3.887214203,[8],8,12,62.922862433909664,pfs,49970,run_idfeature,3678-dc155,cloudid_20160802_071500.nc,1,initial_data
read,1,5132.601040624375,244.5946445465088,96,96,3.887214203,[8],8,12,62.922862433909664,pfs,49970,run_idfeature,3678-dc155,cloudid_20160802_081500.nc,1,initial_data
read,1,5132.601040624375,244.5946445465088,96,96,3.887214203,[8],8,12,62.922862433909664,pfs,49970,run_idfeature,3678-dc155,cloudid_20160802_121500.nc,1,initial_data
