individuals_store,individuals_merge_store,sifting_store,mutation_overlap_store,frequency_store,nodes,total,o1,o2,o3,dur_individuals,dur_individuals_merge,dur_sifting,dur_mutation_overlap,dur_frequency
beegfs,beegfs,beegfs,beegfs,tmpfs,2,433.15115753724774,0.0,345.3515029300504,87.79965460719735,0.0,345.3515029300504,0.022721782953132354,13.912559083022838,87.79965460719735
beegfs,beegfs,beegfs,tmpfs,tmpfs,2,433.15115753724774,0.0,345.3515029300504,87.79965460719735,0.0,345.3515029300504,0.022721782953132354,3.082369282083859,87.79965460719735
beegfs,beegfs,beegfs,ssd,tmpfs,2,433.15115753724774,0.0,345.3515029300504,87.79965460719735,0.0,345.3515029300504,0.022721782953132354,25.916091788754624,87.79965460719735
beegfs,beegfs,beegfs,beegfs,ssd,2,464.80699477077343,0.0,345.3476555227604,119.459339248013,0.0,345.3476555227604,0.02115105089616711,13.912559083022838,119.459339248013
beegfs,beegfs,beegfs,ssd,ssd,2,464.80699477077343,0.0,345.3476555227604,119.459339248013,0.0,345.3476555227604,0.02115105089616711,25.916091788754624,119.459339248013
beegfs,beegfs,beegfs,tmpfs,ssd,2,464.8108421780634,0.0,345.3515029300504,119.459339248013,0.0,345.3515029300504,0.022721782953132354,3.082369282083859,119.459339248013
beegfs,beegfs,beegfs,beegfs,beegfs,2,719.4998015190598,0.0,345.2959490191791,374.2038524998807,0.0,345.2959490191791,0.0,13.912559083022838,374.2038524998807
beegfs,beegfs,beegfs,ssd,beegfs,2,719.5515080226412,0.0,345.3476555227604,374.2038524998807,0.0,345.3476555227604,0.02115105089616711,25.916091788754624,374.2038524998807
beegfs,beegfs,beegfs,tmpfs,beegfs,2,719.5553554299311,0.0,345.3515029300504,374.2038524998807,0.0,345.3515029300504,0.022721782953132354,3.082369282083859,374.2038524998807
beegfs,beegfs,ssd,beegfs,tmpfs,2,9285.537531049215,0.0,9197.737876442017,87.79965460719735,0.0,345.3515029300504,9197.737876442017,13.912559083022838,87.79965460719735
beegfs,beegfs,ssd,tmpfs,tmpfs,2,9285.537531049215,0.0,9197.737876442017,87.79965460719735,0.0,345.3515029300504,9197.737876442017,3.082369282083859,87.79965460719735
beegfs,beegfs,ssd,ssd,tmpfs,2,9285.537531049215,0.0,9197.737876442017,87.79965460719735,0.0,345.3515029300504,9197.737876442017,25.916091788754624,87.79965460719735
beegfs,beegfs,ssd,beegfs,ssd,2,9317.19721569003,0.0,9197.737876442017,119.459339248013,0.0,345.3476555227604,9197.737876442017,13.912559083022838,119.459339248013
beegfs,beegfs,ssd,tmpfs,ssd,2,9317.19721569003,0.0,9197.737876442017,119.459339248013,0.0,345.3515029300504,9197.737876442017,3.082369282083859,119.459339248013
beegfs,beegfs,ssd,ssd,ssd,2,9317.19721569003,0.0,9197.737876442017,119.459339248013,0.0,345.3476555227604,9197.737876442017,25.916091788754624,119.459339248013
beegfs,beegfs,ssd,beegfs,beegfs,2,9571.941728941898,0.0,9197.737876442017,374.2038524998807,0.0,345.2959490191791,9197.737876442017,13.912559083022838,374.2038524998807
beegfs,beegfs,ssd,tmpfs,beegfs,2,9571.941728941898,0.0,9197.737876442017,374.2038524998807,0.0,345.3515029300504,9197.737876442017,3.082369282083859,374.2038524998807
beegfs,beegfs,ssd,ssd,beegfs,2,9571.941728941898,0.0,9197.737876442017,374.2038524998807,0.0,345.3476555227604,9197.737876442017,25.916091788754624,374.2038524998807
beegfs,beegfs,beegfs,beegfs,tmpfs,5,240.85095133430204,0.0,155.4007900502678,85.45016128403424,0.0,155.4007900502678,0.022721782953132354,11.847994253964394,85.45016128403424
beegfs,beegfs,beegfs,tmpfs,tmpfs,5,240.85095133430204,0.0,155.4007900502678,85.45016128403424,0.0,155.4007900502678,0.022721782953132354,2.7684486462397935,85.45016128403424
beegfs,beegfs,beegfs,ssd,tmpfs,5,240.85095133430204,0.0,155.4007900502678,85.45016128403424,0.0,155.4007900502678,0.022721782953132354,9.923112461551248,85.45016128403424
beegfs,beegfs,beegfs,beegfs,ssd,5,247.25499962447196,0.0,155.39694264297785,91.8580569814941,0.0,155.39694264297785,0.02115105089616711,11.847994253964394,91.8580569814941
beegfs,beegfs,beegfs,ssd,ssd,5,247.25499962447196,0.0,155.39694264297785,91.8580569814941,0.0,155.39694264297785,0.02115105089616711,9.923112461551248,91.8580569814941
beegfs,beegfs,beegfs,tmpfs,ssd,5,247.2588470317619,0.0,155.4007900502678,91.8580569814941,0.0,155.4007900502678,0.022721782953132354,2.7684486462397935,91.8580569814941
beegfs,beegfs,beegfs,beegfs,beegfs,5,474.643948924985,0.0,155.34523613939652,319.29871278558846,0.0,155.34523613939652,0.0,11.847994253964394,319.29871278558846
beegfs,beegfs,beegfs,ssd,beegfs,5,474.6956554285663,0.0,155.39694264297785,319.29871278558846,0.0,155.39694264297785,0.02115105089616711,9.923112461551248,319.29871278558846
beegfs,beegfs,beegfs,tmpfs,beegfs,5,474.69950283585626,0.0,155.4007900502678,319.29871278558846,0.0,155.4007900502678,0.022721782953132354,2.7684486462397935,319.29871278558846
beegfs,beegfs,ssd,beegfs,tmpfs,5,9283.188037726051,0.0,9197.737876442017,85.45016128403424,0.0,155.4007900502678,9197.737876442017,11.847994253964394,85.45016128403424
beegfs,beegfs,ssd,tmpfs,tmpfs,5,9283.188037726051,0.0,9197.737876442017,85.45016128403424,0.0,155.4007900502678,9197.737876442017,2.7684486462397935,85.45016128403424
