individuals_store,individuals_merge_store,sifting_store,mutation_overlap_store,frequency_store,nodes,total,o1,o2,o3,dur_individuals,dur_individuals_merge,dur_sifting,dur_mutation_overlap,dur_frequency
beegfs,beegfs,beegfs,beegfs,tmpfs,2,449.8536875186394,0.0,348.3430836561423,101.51060386249705,0.0,348.3430836561423,0.022721782953132354,12.622837820387888,101.51060386249705
beegfs,beegfs,beegfs,tmpfs,tmpfs,2,449.8536875186394,0.0,348.3430836561423,101.51060386249705,0.0,348.3430836561423,0.022721782953132354,2.8223168343827103,101.51060386249705
beegfs,beegfs,beegfs,ssd,tmpfs,2,449.8536875186394,0.0,348.3430836561423,101.51060386249705,0.0,348.3430836561423,0.022721782953132354,25.638724676860004,101.51060386249705
beegfs,beegfs,beegfs,beegfs,ssd,2,478.6017621350238,0.0,348.34044810177005,130.26131403325377,0.0,348.34044810177005,0.02115105089616711,12.622837820387888,130.26131403325377
beegfs,beegfs,beegfs,ssd,ssd,2,478.6017621350238,0.0,348.34044810177005,130.26131403325377,0.0,348.34044810177005,0.02115105089616711,25.638724676860004,130.26131403325377
beegfs,beegfs,beegfs,tmpfs,ssd,2,478.6043976893961,0.0,348.3430836561423,130.26131403325377,0.0,348.3430836561423,0.022721782953132354,2.8223168343827103,130.26131403325377
beegfs,beegfs,beegfs,beegfs,beegfs,2,713.5906649419169,0.0,348.3050127787198,365.28565216319714,0.0,348.3050127787198,0.0,12.622837820387888,365.28565216319714
beegfs,beegfs,beegfs,ssd,beegfs,2,713.6261002649671,0.0,348.34044810177005,365.28565216319714,0.0,348.34044810177005,0.02115105089616711,25.638724676860004,365.28565216319714
beegfs,beegfs,beegfs,tmpfs,beegfs,2,713.6287358193395,0.0,348.3430836561423,365.28565216319714,0.0,348.3430836561423,0.022721782953132354,2.8223168343827103,365.28565216319714
beegfs,beegfs,ssd,beegfs,tmpfs,2,8877.877958825015,0.0,8776.367354962518,101.51060386249705,0.0,348.3430836561423,8776.367354962518,12.622837820387888,101.51060386249705
beegfs,beegfs,ssd,tmpfs,tmpfs,2,8877.877958825015,0.0,8776.367354962518,101.51060386249705,0.0,348.3430836561423,8776.367354962518,2.8223168343827103,101.51060386249705
beegfs,beegfs,ssd,ssd,tmpfs,2,8877.877958825015,0.0,8776.367354962518,101.51060386249705,0.0,348.3430836561423,8776.367354962518,25.638724676860004,101.51060386249705
beegfs,beegfs,ssd,beegfs,ssd,2,8906.628668995772,0.0,8776.367354962518,130.26131403325377,0.0,348.34044810177005,8776.367354962518,12.622837820387888,130.26131403325377
