individuals_store,individuals_merge_store,sifting_store,mutation_overlap_store,frequency_store,nodes,total,o1,o2,o3,dur_individuals,dur_individuals_merge,dur_sifting,dur_mutation_overlap,dur_frequency
tmpfs,ssd,tmpfs,tmpfs,beegfs,5,593658.4271171014,580448.2946644697,12902.998897520418,307.1335551112563,580448.2946644697,1053.9120784078882,12902.998897520418,2.532783879293051,307.1335551112563
tmpfs,ssd,tmpfs,ssd,beegfs,5,593658.4271171014,580448.2946644697,12902.998897520418,307.1335551112563,580448.2946644697,1053.9120784078882,12902.998897520418,9.696563069864245,307.1335551112563
ssd,tmpfs,beegfs,beegfs,tmpfs,5,845231.4760750992,845097.6372466636,31.7776413349224,102.06118710067722,845097.6372466636,31.7776413349224,0.022721782953132354,10.771634535493536,102.06118710067722
ssd,tmpfs,beegfs,tmpfs,tmpfs,5,845231.4760750992,845097.6372466636,31.7776413349224,102.06118710067722,845097.6372466636,31.7776413349224,0.022721782953132354,2.532783879293051,102.06118710067722
ssd,tmpfs,beegfs,ssd,tmpfs,5,845231.4760750992,845097.6372466636,31.7776413349224,102.06118710067722,845097.6372466636,31.7776413349224,0.022721782953132354,9.696563069864245,102.06118710067722
ssd,tmpfs,beegfs,beegfs,ssd,5,845237.85275159,845097.6372466636,31.7776413349224,108.43786359143807,845097.6372466636,31.7776413349224,0.02115105089616711,10.771634535493536,108.43786359143807
ssd,tmpfs,beegfs,tmpfs,ssd,5,845237.85275159,845097.6372466636,31.7776413349224,108.43786359143807,845097.6372466636,31.7776413349224,0.022721782953132354,2.532783879293051,108.43786359143807
ssd,tmpfs,beegfs,ssd,ssd,5,845237.85275159,845097.6372466636,31.7776413349224,108.43786359143807,845097.6372466636,31.7776413349224,0.02115105089616711,9.696563069864245,108.43786359143807
ssd,beegfs,beegfs,beegfs,tmpfs,5,845356.1200790685,845097.6372466636,156.42164530420203,102.06118710067722,845097.6372466636,156.42164530420203,0.022721782953132354,10.771634535493536,102.06118710067722
ssd,beegfs,beegfs,tmpfs,tmpfs,5,845356.1200790685,845097.6372466636,156.42164530420203,102.06118710067722,845097.6372466636,156.42164530420203,0.022721782953132354,2.532783879293051,102.06118710067722
ssd,beegfs,beegfs,ssd,tmpfs,5,845356.1200790685,845097.6372466636,156.42164530420203,102.06118710067722,845097.6372466636,156.42164530420203,0.022721782953132354,9.696563069864245,102.06118710067722
ssd,beegfs,beegfs,beegfs,ssd,5,845362.4941200048,845097.6372466636,156.41900974982977,108.43786359143807,845097.6372466636,156.41900974982977,0.02115105089616711,10.771634535493536,108.43786359143807
ssd,beegfs,beegfs,ssd,ssd,5,845362.4941200048,845097.6372466636,156.41900974982977,108.43786359143807,845097.6372466636,156.41900974982977,0.02115105089616711,9.696563069864245,108.43786359143807
ssd,beegfs,beegfs,tmpfs,ssd,5,845362.4967555592,845097.6372466636,156.42164530420203,108.43786359143807,845097.6372466636,156.42164530420203,0.022721782953132354,2.532783879293051,108.43786359143807
ssd,tmpfs,beegfs,beegfs,beegfs,5,845436.5484431097,845097.6372466636,31.7776413349224,307.1335551112563,845097.6372466636,31.7776413349224,0.0,10.771634535493536,307.1335551112563
ssd,tmpfs,beegfs,tmpfs,beegfs,5,845436.5484431097,845097.6372466636,31.7776413349224,307.1335551112563,845097.6372466636,31.7776413349224,0.022721782953132354,2.532783879293051,307.1335551112563
ssd,tmpfs,beegfs,ssd,beegfs,5,845436.5484431097,845097.6372466636,31.7776413349224,307.1335551112563,845097.6372466636,31.7776413349224,0.02115105089616711,9.696563069864245,307.1335551112563
ssd,beegfs,beegfs,beegfs,beegfs,5,845561.1543762016,845097.6372466636,156.38357442677952,307.1335551112563,845097.6372466636,156.38357442677952,0.0,10.771634535493536,307.1335551112563
ssd,beegfs,beegfs,ssd,beegfs,5,845561.1898115246,845097.6372466636,156.41900974982977,307.1335551112563,845097.6372466636,156.41900974982977,0.02115105089616711,9.696563069864245,307.1335551112563
ssd,beegfs,beegfs,tmpfs,beegfs,5,845561.192447079,845097.6372466636,156.42164530420203,307.1335551112563,845097.6372466636,156.42164530420203,0.022721782953132354,2.532783879293051,307.1335551112563
ssd,ssd,beegfs,beegfs,tmpfs,5,846253.6105121722,845097.6372466636,1053.9120784078882,102.06118710067722,845097.6372466636,1053.9120784078882,0.022721782953132354,10.771634535493536,102.06118710067722
ssd,ssd,beegfs,tmpfs,tmpfs,5,846253.6105121722,845097.6372466636,1053.9120784078882,102.06118710067722,845097.6372466636,1053.9120784078882,0.022721782953132354,2.532783879293051,102.06118710067722
ssd,ssd,beegfs,ssd,tmpfs,5,846253.6105121722,845097.6372466636,1053.9120784078882,102.06118710067722,845097.6372466636,1053.9120784078882,0.022721782953132354,9.696563069864245,102.06118710067722
